file	script	offset	opcode	time	size	mask	payload
ascii.anm	0	4032	3	0	12	0	85000000
ascii.anm	0	4044	30	0	12	0	01000000
ascii.anm	0	4056	23	0	8	0	
ascii.anm	0	4064	21	0	12	0	01000000
ascii.anm	0	4076	8	0	12	0	00000000
ascii.anm	0	4088	34	0	20	0	1e00000000000000ff000000
ascii.anm	0	4108	6	0	20	0	00009c4300009c4300000000
ascii.anm	0	4128	32	100	28	0	1e0000000400000000009c430000204200000000
ascii.anm	0	4156	20	130	8	0	
ascii.anm	0	4164	21	130	12	0	02000000
ascii.anm	0	4176	32	130	28	0	1e00000004000000000008440000204200000000
ascii.anm	0	4204	23	160	8	0	
ascii.anm	0	4212	1	160	8	0	
ascii.anm	0	4220	-1	0	0	0	
ascii.anm	1	4228	3	0	12	0	86000000
ascii.anm	1	4240	30	0	12	0	01000000
ascii.anm	1	4252	23	0	8	0	
ascii.anm	1	4260	21	0	12	0	01000000
ascii.anm	1	4272	8	0	12	0	00000000
ascii.anm	1	4284	34	0	20	0	1e00000000000000ff000000
ascii.anm	1	4304	6	0	20	0	0000b0420000ac4300000000
ascii.anm	1	4324	32	100	28	0	1e000000040000000000b0420000dc4300000000
ascii.anm	1	4352	20	130	8	0	
ascii.anm	1	4360	21	130	12	0	02000000
ascii.anm	1	4372	32	130	28	0	1e00000004000000000060c30000dc4300000000
ascii.anm	1	4400	23	160	8	0	
ascii.anm	1	4408	1	160	8	0	
ascii.anm	1	4416	-1	0	0	0	
ascii.anm	2	4424	3	0	12	0	87000000
ascii.anm	2	4436	30	0	12	0	01000000
ascii.anm	2	4448	23	0	8	0	
ascii.anm	2	4456	21	0	12	0	01000000
ascii.anm	2	4468	8	0	12	0	00000000
ascii.anm	2	4480	34	0	20	0	1e00000000000000ff000000
ascii.anm	2	4500	6	0	20	0	00009a430000ac4300000000
ascii.anm	2	4520	32	30	28	0	1e0000000000000000009a430000a24300000000
ascii.anm	2	4548	32	100	28	0	1e0000000400000000009a430000504200000000
ascii.anm	2	4576	20	130	8	0	
ascii.anm	2	4584	21	130	12	0	02000000
ascii.anm	2	4596	34	130	20	0	1e0000000000000000000000
ascii.anm	2	4616	23	160	8	0	
ascii.anm	2	4624	1	160	8	0	
ascii.anm	2	4632	-1	0	0	0	
ascii.anm	3	4640	3	0	12	0	82000000
ascii.anm	3	4652	30	0	12	0	01000000
ascii.anm	3	4664	23	0	8	0	
ascii.anm	3	4672	21	0	12	0	01000000
ascii.anm	3	4684	8	0	12	0	00000000
ascii.anm	3	4696	7	30	16	0	0000004100000041
ascii.anm	3	4712	36	30	24	0	1e000000000000000000803f0000803f
ascii.anm	3	4736	34	30	20	0	1e00000000000000ff000000
ascii.anm	3	4756	6	30	20	0	000024430000b84300000000
ascii.anm	3	4776	32	30	28	0	28000000010000000000a6430000b84300000000
ascii.anm	3	4804	4	1030	16	0	a40000001e000000
ascii.anm	3	4820	-1	0	0	0	
ascii.anm	4	4828	3	0	12	0	88000000
ascii.anm	4	4840	30	0	12	0	01000000
ascii.anm	4	4852	2	0	8	0	
ascii.anm	4	4860	-1	0	0	0	
ascii.anm	5	4868	3	0	12	0	9b000000
ascii.anm	5	4880	30	0	12	0	01000000
ascii.anm	5	4892	22	0	8	0	
ascii.anm	5	4900	21	0	12	0	ffffffff
ascii.anm	5	4912	23	0	8	0	
ascii.anm	5	4920	21	0	12	0	01000000
ascii.anm	5	4932	34	0	20	0	0f00000000000000ff000000
ascii.anm	5	4952	6	0	20	0	000000420080e84300000000
ascii.anm	5	4972	32	0	28	0	2800000000000000000000420080e04300000000
ascii.anm	5	5000	20	40	8	0	
ascii.anm	5	5008	21	40	12	0	02000000
ascii.anm	5	5020	34	40	20	0	0f0000000000000040000000
ascii.anm	5	5040	20	55	8	0	
ascii.anm	5	5048	21	55	12	0	03000000
ascii.anm	5	5060	34	55	20	0	0f00000000000000ff000000
ascii.anm	5	5080	20	70	8	0	
ascii.anm	5	5088	-1	0	0	0	
ascii.anm	6	5096	3	0	12	0	99000000
ascii.anm	6	5108	30	0	12	0	01000000
ascii.anm	6	5120	22	0	8	0	
ascii.anm	6	5128	21	0	12	0	ffffffff
ascii.anm	6	5140	6	0	20	0	0000b0420080e04300000000
ascii.anm	6	5160	8	0	12	0	00000000
ascii.anm	6	5172	23	0	8	0	
ascii.anm	6	5180	21	0	12	0	01000000
ascii.anm	6	5192	8	0	12	0	00000000
ascii.anm	6	5204	34	60	20	0	2800000000000000ff000000
ascii.anm	6	5224	20	100	8	0	
ascii.anm	6	5232	21	100	12	0	02000000
ascii.anm	6	5244	34	100	20	0	0f0000000000000040000000
ascii.anm	6	5264	20	115	8	0	
ascii.anm	6	5272	21	115	12	0	03000000
ascii.anm	6	5284	34	115	20	0	0f00000000000000ff000000
ascii.anm	6	5304	20	130	8	0	
ascii.anm	6	5312	-1	0	0	0	
ascii.anm	7	5320	3	0	12	0	9a000000
ascii.anm	7	5332	30	0	12	0	01000000
ascii.anm	7	5344	22	0	8	0	
ascii.anm	7	5352	21	0	12	0	ffffffff
ascii.anm	7	5364	6	0	20	0	0000b0420080e04300000000
ascii.anm	7	5384	23	0	8	0	
ascii.anm	7	5392	21	0	12	0	01000000
ascii.anm	7	5404	8	0	12	0	00000000
ascii.anm	7	5416	34	60	20	0	2800000000000000ff000000
ascii.anm	7	5436	20	100	8	0	
ascii.anm	7	5444	21	100	12	0	02000000
ascii.anm	7	5456	34	100	20	0	0f0000000000000040000000
ascii.anm	7	5476	20	115	8	0	
ascii.anm	7	5484	21	115	12	0	03000000
ascii.anm	7	5496	34	115	20	0	0f00000000000000ff000000
ascii.anm	7	5516	20	130	8	0	
ascii.anm	7	5524	-1	0	0	0	
ascii.anm	8	5532	3	0	12	0	98000000
ascii.anm	8	5544	30	0	12	0	01000000
ascii.anm	8	5556	21	0	12	0	ffffffff
ascii.anm	8	5568	23	0	8	0	
ascii.anm	8	5576	21	0	12	0	01000000
ascii.anm	8	5588	8	0	12	0	00000000
ascii.anm	8	5600	6	0	20	0	000010430080e24300000000
ascii.anm	8	5620	34	60	20	0	2800000000000000ff000000
ascii.anm	8	5640	20	100	8	0	
ascii.anm	8	5648	21	100	12	0	02000000
ascii.anm	8	5660	34	100	20	0	0f0000000000000040000000
ascii.anm	8	5680	20	115	8	0	
ascii.anm	8	5688	21	115	12	0	03000000
ascii.anm	8	5700	34	115	20	0	0f00000000000000ff000000
ascii.anm	8	5720	20	130	8	0	
ascii.anm	8	5728	-1	0	0	0	
ascii.anm	9	5736	3	0	12	0	9c000000
ascii.anm	9	5748	30	0	12	0	01000000
ascii.anm	9	5760	36	0	24	0	1e000000040000009a99993f9a99993f
ascii.anm	9	5784	36	30	24	0	1e00000001000000cdcc4c3fcdcc4c3f
ascii.anm	9	5808	4	60	16	0	1800000000000000
ascii.anm	9	5824	-1	0	0	0	
ascii.anm	10	5832	3	0	12	0	9d000000
ascii.anm	10	5844	30	0	12	0	01000000
ascii.anm	10	5856	8	0	12	0	00000000
ascii.anm	10	5868	21	0	12	0	ffffffff
ascii.anm	10	5880	23	0	8	0	
ascii.anm	10	5888	21	0	12	0	01000000
ascii.anm	10	5900	34	0	20	0	1e00000000000000ff000000
ascii.anm	10	5920	20	30	8	0	
ascii.anm	10	5928	21	30	12	0	ffffffff
ascii.anm	10	5940	23	30	8	0	
ascii.anm	10	5948	21	30	12	0	02000000
ascii.anm	10	5960	34	30	20	0	1e0000000000000000000000
ascii.anm	10	5980	23	60	8	0	
ascii.anm	10	5988	-1	0	0	0	
ascii.anm	11	5996	3	0	12	0	9f000000
ascii.anm	11	6008	30	0	12	0	01000000
ascii.anm	11	6020	8	0	12	0	00000000
ascii.anm	11	6032	6	0	20	0	000060430000704300000000
ascii.anm	11	6052	34	0	20	0	7800000000000000ff000000
ascii.anm	11	6072	34	120	20	0	3c0000000000000040000000
ascii.anm	11	6092	4	180	16	0	3800000000000000
ascii.anm	11	6108	-1	0	0	0	
ascii.anm	12	271748	3	0	12	0	0c010000
ascii.anm	12	271760	6	0	20	0	000060430000404300000000
ascii.anm	12	271780	8	0	12	0	00000000
ascii.anm	12	271792	23	0	8	0	
ascii.anm	12	271800	21	0	12	0	01000000
ascii.anm	12	271812	34	0	20	0	1400000000000000ff000000
ascii.anm	12	271832	32	0	28	0	1400000000000000000060430000404300000000
ascii.anm	12	271860	20	20	8	0	
ascii.anm	12	271868	21	20	12	0	02000000
ascii.anm	12	271880	34	20	20	0	140000000000000000000000
ascii.anm	12	271900	32	20	28	0	1400000000000000000060430000404300000000
ascii.anm	12	271928	23	40	8	0	
ascii.anm	12	271936	-1	0	0	0	
ascii.anm	13	271944	3	0	12	0	0d010000
ascii.anm	13	271956	6	0	20	0	000080430000804300000000
ascii.anm	13	271976	8	0	12	0	00000000
ascii.anm	13	271988	23	0	8	0	
ascii.anm	13	271996	21	0	12	0	01000000
ascii.anm	13	272008	34	0	20	0	1400000000000000ff000000
ascii.anm	13	272028	32	0	28	0	1400000000000000000060430000804300000000
ascii.anm	13	272056	20	20	8	0	
ascii.anm	13	272064	21	20	12	0	02000000
ascii.anm	13	272076	34	20	20	0	140000000000000000000000
ascii.anm	13	272096	32	20	28	0	1400000000000000000080430000804300000000
ascii.anm	13	272124	23	40	8	0	
ascii.anm	13	272132	-1	0	0	0	
ascii.anm	14	272140	3	0	12	0	0e010000
ascii.anm	14	272152	6	0	20	0	000040430000924300000000
ascii.anm	14	272172	8	0	12	0	00000000
ascii.anm	14	272184	23	0	8	0	
ascii.anm	14	272192	21	0	12	0	01000000
ascii.anm	14	272204	34	0	20	0	1400000000000000ff000000
ascii.anm	14	272224	32	0	28	0	1400000000000000000060430000924300000000
ascii.anm	14	272252	20	20	8	0	
ascii.anm	14	272260	21	20	12	0	02000000
ascii.anm	14	272272	34	20	20	0	140000000000000000000000
ascii.anm	14	272292	32	20	28	0	1400000000000000000040430000924300000000
ascii.anm	14	272320	23	40	8	0	
ascii.anm	14	272328	-1	0	0	0	
ascii.anm	15	272336	3	0	12	0	0f010000
ascii.anm	15	272348	6	0	20	0	000070430000a44300000000
ascii.anm	15	272368	8	0	12	0	00000000
ascii.anm	15	272380	23	0	8	0	
ascii.anm	15	272388	21	0	12	0	01000000
ascii.anm	15	272400	34	0	20	0	1400000000000000ff000000
ascii.anm	15	272420	32	0	28	0	1400000000000000000060430000a44300000000
ascii.anm	15	272448	20	20	8	0	
ascii.anm	15	272456	21	20	12	0	02000000
ascii.anm	15	272468	34	20	20	0	140000000000000000000000
ascii.anm	15	272488	32	20	28	0	1400000000000000000070430000a44300000000
ascii.anm	15	272516	23	40	8	0	
ascii.anm	15	272524	-1	0	0	0	
ascii.anm	16	272532	3	0	12	0	10010000
ascii.anm	16	272544	6	0	20	0	000060430000404300000000
ascii.anm	16	272564	8	0	12	0	00000000
ascii.anm	16	272576	23	0	8	0	
ascii.anm	16	272584	21	0	12	0	01000000
ascii.anm	16	272596	34	0	20	0	1400000000000000ff000000
ascii.anm	16	272616	32	0	28	0	1400000000000000000060430000404300000000
ascii.anm	16	272644	20	20	8	0	
ascii.anm	16	272652	21	20	12	0	02000000
ascii.anm	16	272664	34	20	20	0	140000000000000000000000
ascii.anm	16	272684	32	20	28	0	1400000000000000000060430000404300000000
ascii.anm	16	272712	23	40	8	0	
ascii.anm	16	272720	-1	0	0	0	
ascii.anm	17	272728	3	0	12	0	13010000
ascii.anm	17	272740	6	0	20	0	000060430000804300000000
ascii.anm	17	272760	8	0	12	0	00000000
ascii.anm	17	272772	23	0	8	0	
ascii.anm	17	272780	21	0	12	0	01000000
ascii.anm	17	272792	34	0	20	0	1400000000000000ff000000
ascii.anm	17	272812	32	0	28	0	1400000000000000000060430000804300000000
ascii.anm	17	272840	20	20	8	0	
ascii.anm	17	272848	21	20	12	0	02000000
ascii.anm	17	272860	34	20	20	0	140000000000000000000000
ascii.anm	17	272880	32	20	28	0	1400000000000000000060430000804300000000
ascii.anm	17	272908	23	40	8	0	
ascii.anm	17	272916	-1	0	0	0	
ascii.anm	18	272924	3	0	12	0	14010000
ascii.anm	18	272936	6	0	20	0	000060430000924300000000
ascii.anm	18	272956	8	0	12	0	00000000
ascii.anm	18	272968	23	0	8	0	
ascii.anm	18	272976	21	0	12	0	01000000
ascii.anm	18	272988	34	0	20	0	1400000000000000ff000000
ascii.anm	18	273008	32	0	28	0	1400000000000000000060430000924300000000
ascii.anm	18	273036	20	20	8	0	
ascii.anm	18	273044	21	20	12	0	02000000
ascii.anm	18	273056	34	20	20	0	140000000000000000000000
ascii.anm	18	273076	32	20	28	0	1400000000000000000060430000924300000000
ascii.anm	18	273104	23	40	8	0	
ascii.anm	18	273112	-1	0	0	0	
ascii.anm	19	273120	3	0	12	0	1b010000
ascii.anm	19	273132	22	0	8	0	
ascii.anm	19	273140	6	0	20	0	0000ac430000de4300000000
ascii.anm	19	273160	8	0	12	0	00000000
ascii.anm	19	273172	21	0	12	0	01000000
ascii.anm	19	273184	34	0	20	0	1400000000000000ff000000
ascii.anm	19	273204	20	20	8	0	
ascii.anm	19	273212	21	20	12	0	02000000
ascii.anm	19	273224	34	20	20	0	140000000000000000000000
ascii.anm	19	273244	23	40	8	0	
ascii.anm	19	273252	-1	0	0	0	
ascii.anm	20	273260	3	0	12	0	22010000
ascii.anm	20	273272	22	0	8	0	
ascii.anm	20	273280	6	0	20	0	0000ac430000d64300000000
ascii.anm	20	273300	8	0	12	0	00000000
ascii.anm	20	273312	21	0	12	0	01000000
ascii.anm	20	273324	34	0	20	0	1400000000000000ff000000
ascii.anm	20	273344	20	20	8	0	
ascii.anm	20	273352	21	20	12	0	02000000
ascii.anm	20	273364	34	20	20	0	140000000000000000000000
ascii.anm	20	273384	23	40	8	0	
ascii.anm	20	273392	-1	0	0	0	
ascii.anm	21	273400	3	0	12	0	21010000
ascii.anm	21	273412	22	0	8	0	
ascii.anm	21	273420	6	0	20	0	0000ac430000ce4300000000
ascii.anm	21	273440	8	0	12	0	00000000
ascii.anm	21	273452	21	0	12	0	01000000
ascii.anm	21	273464	34	0	20	0	1400000000000000ff000000
ascii.anm	21	273484	20	20	8	0	
ascii.anm	21	273492	21	20	12	0	02000000
ascii.anm	21	273504	34	20	20	0	140000000000000000000000
ascii.anm	21	273524	23	40	8	0	
ascii.anm	21	273532	-1	0	0	0	
ascii.anm	22	273540	3	0	12	0	11010000
ascii.anm	22	273552	6	0	20	0	000060430000404300000000
ascii.anm	22	273572	8	0	12	0	00000000
ascii.anm	22	273584	23	0	8	0	
ascii.anm	22	273592	21	0	12	0	01000000
ascii.anm	22	273604	34	0	20	0	1400000000000000ff000000
ascii.anm	22	273624	32	0	28	0	1400000000000000000060430000404300000000
ascii.anm	22	273652	20	20	8	0	
ascii.anm	22	273660	21	20	12	0	02000000
ascii.anm	22	273672	34	20	20	0	140000000000000000000000
ascii.anm	22	273692	32	20	28	0	1400000000000000000060430000404300000000
ascii.anm	22	273720	23	40	8	0	
ascii.anm	22	273728	-1	0	0	0	
ascii.anm	23	273736	3	0	12	0	13010000
ascii.anm	23	273748	6	0	20	0	000060430000904300000000
ascii.anm	23	273768	8	0	12	0	00000000
ascii.anm	23	273780	23	0	8	0	
ascii.anm	23	273788	21	0	12	0	01000000
ascii.anm	23	273800	34	0	20	0	1400000000000000ff000000
ascii.anm	23	273820	32	0	28	0	1400000000000000000060430000904300000000
ascii.anm	23	273848	20	20	8	0	
ascii.anm	23	273856	21	20	12	0	02000000
ascii.anm	23	273868	34	20	20	0	140000000000000000000000
ascii.anm	23	273888	32	20	28	0	1400000000000000000060430000904300000000
ascii.anm	23	273916	23	40	8	0	
ascii.anm	23	273924	-1	0	0	0	
ascii.anm	24	273932	3	0	12	0	14010000
ascii.anm	24	273944	6	0	20	0	000060430000a24300000000
ascii.anm	24	273964	8	0	12	0	00000000
ascii.anm	24	273976	23	0	8	0	
ascii.anm	24	273984	21	0	12	0	01000000
ascii.anm	24	273996	34	0	20	0	1400000000000000ff000000
ascii.anm	24	274016	32	0	28	0	1400000000000000000060430000a24300000000
ascii.anm	24	274044	20	20	8	0	
ascii.anm	24	274052	21	20	12	0	02000000
ascii.anm	24	274064	34	20	20	0	140000000000000000000000
ascii.anm	24	274084	32	20	28	0	1400000000000000000060430000a24300000000
ascii.anm	24	274112	23	40	8	0	
ascii.anm	24	274120	-1	0	0	0	
ascii.anm	25	274128	3	0	12	0	1b010000
ascii.anm	25	274140	22	0	8	0	
ascii.anm	25	274148	6	0	20	0	00000a440000484300000000
ascii.anm	25	274168	8	0	12	0	00000000
ascii.anm	25	274180	21	0	12	0	01000000
ascii.anm	25	274192	34	60	20	0	1400000000000000ff000000
ascii.anm	25	274212	20	80	8	0	
ascii.anm	25	274220	21	80	12	0	02000000
ascii.anm	25	274232	34	80	20	0	140000000000000000000000
ascii.anm	25	274252	23	100	8	0	
ascii.anm	25	274260	-1	0	0	0	
ascii.anm	26	274268	3	0	12	0	1a010000
ascii.anm	26	274280	22	0	8	0	
ascii.anm	26	274288	6	0	20	0	0000f4430000b04200000000
ascii.anm	26	274308	4	10000	16	0	2800000000000000
ascii.anm	26	274324	-1	0	0	0	
capture.anm	0	192	3	0	12	0	00000000
capture.anm	0	204	7	0	16	0	0000404000006040
capture.anm	0	220	22	0	8	0	
capture.anm	0	228	9	0	20	0	800000003000000010000000
capture.anm	0	248	8	0	12	0	00000000
capture.anm	0	260	15	0	16	0	ff0000001e000000
capture.anm	0	276	20	30	8	0	
capture.anm	0	284	21	30	12	0	01000000
capture.anm	0	296	15	30	16	0	000000001e000000
capture.anm	0	312	23	60	8	0	
capture.anm	0	320	-1	0	0	0	
capture.anm	1	328	3	0	12	0	01000000
capture.anm	1	340	30	0	12	0	01000000
capture.anm	1	352	13	0	20	0	5077d63d000000005077d63d
capture.anm	1	372	8	0	12	0	ff000000
capture.anm	1	384	34	0	20	0	2800000000000000a0000000
capture.anm	1	404	9	0	20	0	ff000000ff000000ff000000
capture.anm	1	424	33	0	28	0	280000000000000060000000c0000000ff000000
capture.anm	1	452	7	0	16	0	0000803f0000803f
capture.anm	1	468	36	0	24	0	2800000000000000cdcccc3ecdcccc3e
capture.anm	1	492	6	0	20	0	000060430000704300000000
capture.anm	1	512	32	0	28	0	28000000000000000000c0420000804300000000
capture.anm	1	540	13	40	20	0	000000000000000000000000
capture.anm	1	560	12	40	20	0	000000000000000000000000
capture.anm	1	580	20	40	8	0	
capture.anm	1	588	21	40	12	0	01000000
capture.anm	1	600	1	40	8	0	
