file	index	entry	raw_id	offset	instructions_including_end
ascii.anm	0	0	4294967269	4032	14
ascii.anm	1	0	4294967270	4228	14
ascii.anm	2	0	4294967271	4424	15
ascii.anm	3	0	4294967272	4640	12
ascii.anm	4	0	4294967273	4828	4
ascii.anm	5	0	4294967274	4868	17
ascii.anm	6	0	4294967275	5096	18
ascii.anm	7	0	4294967276	5320	17
ascii.anm	8	0	4294967277	5532	16
ascii.anm	9	0	4294967278	5736	6
ascii.anm	10	0	4294967279	5832	14
ascii.anm	11	0	4294967280	5996	8
ascii.anm	12	2	4294967281	271748	13
ascii.anm	13	2	4294967282	271944	13
ascii.anm	14	2	4294967283	272140	13
ascii.anm	15	2	4294967284	272336	13
ascii.anm	16	2	4294967285	272532	13
ascii.anm	17	2	4294967286	272728	13
ascii.anm	18	2	4294967287	272924	13
ascii.anm	19	2	4294967288	273120	11
ascii.anm	20	2	4294967289	273260	11
ascii.anm	21	2	4294967290	273400	11
ascii.anm	22	2	4294967291	273540	13
ascii.anm	23	2	4294967292	273736	13
ascii.anm	24	2	4294967293	273932	13
ascii.anm	25	2	4294967294	274128	11
ascii.anm	26	2	4294967295	274268	5
capture.anm	0	0	4294967291	192	11
capture.anm	1	0	4294967292	328	17
capture.anm	2	0	4294967293	616	18
capture.anm	3	0	4294967294	920	7
capture.anm	4	0	4294967295	1024	7
eff01.anm	0	0	4294967262	128	8
eff01.anm	1	1	4294967263	131448	8
eff02.anm	0	0	4294967264	128	9
eff02.anm	1	1	4294967265	131460	9
eff03.anm	0	0	4294967266	128	8
eff03.anm	1	1	4294967267	131452	9
eff04a.anm	0	0	4294967268	128	8
eff04a.anm	1	1	4294967269	131452	8
eff04b.anm	0	0	4294967270	128	8
eff04b.anm	1	1	4294967271	131452	8
eff05.anm	0	0	4294967272	128	12
eff05.anm	1	1	4294967273	524740	12
eff06.anm	0	0	4294967274	128	12
eff06.anm	1	1	4294967275	524740	12
eff06.anm	2	2	4294967276	656136	8
eff06.anm	3	3	4294967277	787456	8
eff07.anm	0	0	4294967278	128	12
eff07.anm	1	1	4294967279	524740	12
eff07.anm	2	2	4294967280	656136	8
eff07.anm	3	3	4294967281	787456	7
eff08.anm	0	0	4294967282	128	8
eff08.anm	1	1	4294967283	131452	9
eff08.anm	2	2	4294967284	262784	7
eff08.anm	3	3	4294967285	787308	12
eff09al.anm	0	0	4294967290	128	8
eff09al.anm	1	1	4294967291	131448	12
eff09rm.anm	0	0	4294967292	128	18
eff09rm.anm	1	1	4294967293	131616	9
eff09sk.anm	0	0	4294967286	128	18
eff09sk.anm	1	1	4294967287	131616	17
eff09yk.anm	0	0	0	128	18
eff09yk.anm	1	1	1	131588	11
eff09ym.anm	0	0	4294967288	128	17
eff09ym.anm	1	1	4294967289	131572	25
eff09yy.anm	0	0	4294967294	128	8
eff09yy.anm	1	1	4294967295	131448	8
enemy.anm	0	0	0	4672	6
enemy.anm	1	0	1	4744	6
enemy.anm	2	0	2	4808	7
enemy.anm	3	0	3	4880	10
enemy.anm	4	0	4	5000	11
enemy.anm	5	0	5	5128	12
enemy.anm	6	0	6	5292	6
enemy.anm	7	0	7	5364	6
enemy.anm	8	0	8	5428	7
enemy.anm	9	0	9	5500	10
enemy.anm	10	0	10	5620	11
enemy.anm	11	0	11	5748	12
enemy.anm	12	0	12	5912	6
enemy.anm	13	0	13	5984	6
enemy.anm	14	0	14	6048	7
enemy.anm	15	0	15	6120	10
enemy.anm	16	0	16	6240	11
enemy.anm	17	0	17	6368	12
enemy.anm	18	0	18	6532	6
enemy.anm	19	0	19	6604	6
enemy.anm	20	0	20	6668	7
enemy.anm	21	0	21	6740	10
enemy.anm	22	0	22	6860	11
enemy.anm	23	0	23	6988	12
enemy.anm	24	0	24	7152	6
enemy.anm	25	0	25	7224	6
enemy.anm	26	0	26	7288	7
enemy.anm	27	0	27	7360	10
enemy.anm	28	0	28	7480	11
enemy.anm	29	0	29	7608	12
enemy.anm	30	0	30	7772	6
enemy.anm	31	0	31	7844	6
enemy.anm	32	0	32	7908	7
enemy.anm	33	0	33	7980	10
enemy.anm	34	0	34	8100	11
enemy.anm	35	0	35	8228	12
enemy.anm	36	0	36	8392	6
enemy.anm	37	0	37	8464	6
enemy.anm	38	0	38	8528	7
enemy.anm	39	0	39	8600	10
enemy.anm	40	0	40	8720	11
enemy.anm	41	0	41	8848	12
enemy.anm	42	0	42	9012	6
enemy.anm	43	0	43	9084	6
enemy.anm	44	0	44	9148	7
enemy.anm	45	0	45	9220	10
enemy.anm	46	0	46	9340	11
enemy.anm	47	0	47	9468	12
enemy.anm	48	0	48	9632	6
enemy.anm	49	0	49	9728	4
enemy.anm	50	0	50	9776	4
enemy.anm	51	0	51	9824	4
enemy.anm	52	0	52	9872	4
enemy.anm	53	0	53	9920	10
enemy.anm	54	0	54	10040	10
enemy.anm	55	0	55	10160	10
enemy.anm	56	0	56	10280	10
enemy.anm	57	0	57	10400	7
enemy.anm	58	0	58	10484	7
enemy.anm	59	0	59	10568	7
enemy.anm	60	0	60	10652	7
enemy.anm	61	0	61	10736	4
enemy.anm	62	0	62	10784	4
enemy.anm	63	0	63	10832	4
enemy.anm	64	0	64	10880	4
enemy.anm	65	0	65	10928	4
enemy.anm	66	0	66	10976	4
enemy.anm	67	0	67	11024	4
enemy.anm	68	0	68	11072	4
enemy.anm	69	0	69	11120	4
enemy.anm	70	0	70	11168	4
enemy.anm	71	0	71	11216	4
enemy.anm	72	0	72	11264	4
enemy.anm	73	0	73	11312	4
enemy.anm	74	0	74	11360	4
enemy.anm	75	0	75	11408	4
enemy.anm	76	0	76	11456	4
enemy.anm	77	0	77	11504	6
enemy.anm	78	0	78	11576	6
enemy.anm	79	0	79	11640	7
enemy.anm	80	0	80	11712	10
enemy.anm	81	0	81	11832	11
enemy.anm	82	0	82	11960	12
enemy.anm	83	0	83	12124	6
enemy.anm	84	0	84	12196	6
enemy.anm	85	0	85	12260	7
enemy.anm	86	0	86	12332	10
enemy.anm	87	0	87	12452	11
enemy.anm	88	0	88	12580	12
enemy.anm	89	0	89	12744	6
enemy.anm	90	0	90	12816	6
enemy.anm	91	0	91	12880	7
enemy.anm	92	0	92	12952	10
enemy.anm	93	0	93	13072	11
enemy.anm	94	0	94	13200	12
enemy.anm	95	0	95	13364	6
enemy.anm	96	0	96	13436	6
enemy.anm	97	0	97	13500	7
enemy.anm	98	0	98	13572	10
enemy.anm	99	0	99	13692	11
enemy.anm	100	0	100	13820	12
etama.anm	0	0	4294967146	4328	3
etama.anm	1	0	4294967147	4356	3
etama.anm	2	0	4294967148	4384	4
etama.anm	3	0	4294967149	4424	3
etama.anm	4	0	4294967150	4452	4
etama.anm	5	0	4294967151	4492	4
etama.anm	6	0	4294967152	4532	4
etama.anm	7	0	4294967153	4572	3
etama.anm	8	0	4294967154	4600	4
etama.anm	9	0	4294967155	4640	4
etama.anm	10	0	4294967156	4680	4
etama.anm	11	0	4294967157	4720	4
