file	script	status	stopping_offset	opcode	inspected	sprite	completion_time	calls_after_template	hides_on_completion
ascii.anm	0	UNSUPPORTED	4044	30	2	133	-1	0	0
ascii.anm	1	UNSUPPORTED	4240	30	2	134	-1	0	0
ascii.anm	2	UNSUPPORTED	4436	30	2	135	-1	0	0
ascii.anm	3	UNSUPPORTED	4652	30	2	130	-1	0	0
ascii.anm	4	UNSUPPORTED	4840	30	2	136	-1	0	0
ascii.anm	5	UNSUPPORTED	4880	30	2	155	-1	0	0
ascii.anm	6	UNSUPPORTED	5108	30	2	153	-1	0	0
ascii.anm	7	UNSUPPORTED	5332	30	2	154	-1	0	0
ascii.anm	8	UNSUPPORTED	5544	30	2	152	-1	0	0
ascii.anm	9	UNSUPPORTED	5748	30	2	156	-1	0	0
ascii.anm	10	UNSUPPORTED	5844	30	2	157	-1	0	0
ascii.anm	11	UNSUPPORTED	6008	30	2	159	-1	0	0
ascii.anm	12	UNSUPPORTED	271760	6	2	268	-1	0	0
ascii.anm	13	UNSUPPORTED	271956	6	2	269	-1	0	0
ascii.anm	14	UNSUPPORTED	272152	6	2	270	-1	0	0
ascii.anm	15	UNSUPPORTED	272348	6	2	271	-1	0	0
ascii.anm	16	UNSUPPORTED	272544	6	2	272	-1	0	0
ascii.anm	17	UNSUPPORTED	272740	6	2	275	-1	0	0
ascii.anm	18	UNSUPPORTED	272936	6	2	276	-1	0	0
ascii.anm	19	UNSUPPORTED	273132	22	2	283	-1	0	0
ascii.anm	20	UNSUPPORTED	273272	22	2	290	-1	0	0
ascii.anm	21	UNSUPPORTED	273412	22	2	289	-1	0	0
ascii.anm	22	UNSUPPORTED	273552	6	2	273	-1	0	0
ascii.anm	23	UNSUPPORTED	273748	6	2	275	-1	0	0
ascii.anm	24	UNSUPPORTED	273944	6	2	276	-1	0	0
ascii.anm	25	UNSUPPORTED	274140	22	2	283	-1	0	0
ascii.anm	26	UNSUPPORTED	274280	22	2	282	-1	0	0
capture.anm	0	UNSUPPORTED	220	22	3	0	-1	0	0
capture.anm	1	UNSUPPORTED	340	30	2	1	-1	0	0
capture.anm	2	UNSUPPORTED	628	30	2	1	-1	0	0
capture.anm	3	UNSUPPORTED	932	79	2	2	-1	0	0
capture.anm	4	UNSUPPORTED	1036	79	2	2	-1	0	0
eff01.anm	0	UNSUPPORTED	140	22	2	0	-1	0	0
eff01.anm	1	UNSUPPORTED	131460	22	2	1	-1	0	0
eff02.anm	0	UNSUPPORTED	140	22	2	0	-1	0	0
eff02.anm	1	UNSUPPORTED	131472	22	2	1	-1	0	0
eff03.anm	0	UNSUPPORTED	140	22	2	0	-1	0	0
eff03.anm	1	UNSUPPORTED	131464	22	2	1	-1	0	0
eff04a.anm	0	UNSUPPORTED	140	22	2	0	-1	0	0
eff04a.anm	1	UNSUPPORTED	131480	6	3	1	-1	0	0
eff04b.anm	0	UNSUPPORTED	140	22	2	0	-1	0	0
eff04b.anm	1	UNSUPPORTED	131464	22	2	1	-1	0	0
eff05.anm	0	UNSUPPORTED	156	6	3	0	-1	0	0
eff05.anm	1	UNSUPPORTED	524768	6	3	1	-1	0	0
eff06.anm	0	UNSUPPORTED	156	6	3	0	-1	0	0
eff06.anm	1	UNSUPPORTED	524768	6	3	1	-1	0	0
eff06.anm	2	UNSUPPORTED	656148	22	2	2	-1	0	0
eff06.anm	3	UNSUPPORTED	787468	22	2	3	-1	0	0
eff07.anm	0	UNSUPPORTED	156	6	3	0	-1	0	0
eff07.anm	1	UNSUPPORTED	524768	6	3	1	-1	0	0
eff07.anm	2	UNSUPPORTED	656148	22	2	2	-1	0	0
eff07.anm	3	UNSUPPORTED	787468	22	2	3	-1	0	0
eff08.anm	0	UNSUPPORTED	140	22	2	0	-1	0	0
eff08.anm	1	UNSUPPORTED	131464	22	2	1	-1	0	0
eff08.anm	2	UNSUPPORTED	262796	22	2	2	-1	0	0
eff08.anm	3	UNSUPPORTED	787336	6	3	3	-1	0	0
eff09al.anm	0	UNSUPPORTED	140	22	2	0	-1	0	0
eff09al.anm	1	UNSUPPORTED	131476	6	3	1	-1	0	0
eff09rm.anm	0	UNSUPPORTED	156	6	3	0	-1	0	0
eff09rm.anm	1	UNSUPPORTED	131628	22	2	1	-1	0	0
eff09sk.anm	0	UNSUPPORTED	156	6	3	0	-1	0	0
eff09sk.anm	1	UNSUPPORTED	131644	6	3	1	-1	0	0
eff09yk.anm	0	UNSUPPORTED	140	22	2	0	-1	0	0
eff09yk.anm	1	UNSUPPORTED	131616	6	3	1	-1	0	0
eff09ym.anm	0	UNSUPPORTED	140	22	2	0	-1	0	0
eff09ym.anm	1	UNSUPPORTED	131600	6	3	1	-1	0	0
eff09yy.anm	0	UNSUPPORTED	140	22	2	0	-1	0	0
eff09yy.anm	1	UNSUPPORTED	131460	22	2	1	-1	0	0
enemy.anm	0	UNSUPPORTED	4684	3	2	0	-1	0	0
enemy.anm	1	UNSUPPORTED	4756	3	2	7	-1	0	0
enemy.anm	2	UNSUPPORTED	4808	10	1	-1	-1	0	0
enemy.anm	3	UNSUPPORTED	4892	3	2	4	-1	0	0
enemy.anm	4	UNSUPPORTED	5000	10	1	-1	-1	0	0
enemy.anm	5	UNSUPPORTED	5212	0	6	0	-1	0	0
enemy.anm	6	UNSUPPORTED	5304	3	2	8	-1	0	0
enemy.anm	7	UNSUPPORTED	5376	3	2	15	-1	0	0
enemy.anm	8	UNSUPPORTED	5428	10	1	-1	-1	0	0
enemy.anm	9	UNSUPPORTED	5512	3	2	12	-1	0	0
enemy.anm	10	UNSUPPORTED	5620	10	1	-1	-1	0	0
