tick	allocated_total	live	lethal	state_digest
0	21	21	0	11049571273449808409
1	21	21	0	2343782350076569364
2	21	21	0	7834082781104181094
3	21	21	0	1746621057498895199
4	21	21	0	6854824136886095505
5	21	21	0	4764005971748268504
6	21	21	0	657879004457592982
7	21	21	0	7281396833865020507
8	21	21	0	15566032955444462441
9	42	42	21	10486332587460094268
10	42	42	21	478694138073436335
11	42	42	21	6537242512781551935
12	42	42	21	6019301492782551941
13	42	42	21	14129548459164744461
14	42	42	21	17275995955245292583
15	42	42	21	9699461100278201071
16	42	42	21	10714173615594693831
17	42	42	21	1493802218344360752
18	63	63	42	9511023746631125581
19	63	63	42	8151634213001705810
20	63	63	42	16461203532810570653
21	63	63	42	4219342443241913124
22	63	63	42	17526067123256775092
23	63	63	42	13769769397680561157
24	63	63	42	1774444246999985966
25	63	63	42	1350408319938350704
26	63	63	42	7170257011342772413
27	84	84	63	9965181214808002737
28	84	84	63	18354235547500788568
29	84	84	63	13271207990883939540
30	84	84	63	7428533236342675072
31	84	84	63	17741762362622783528
32	84	84	63	2930346983358285347
33	84	84	63	482689780178182265
34	84	84	63	14495851471609734037
35	84	84	63	14789083210374905806
36	105	105	84	13467506078527382149
37	105	105	84	16524258999749619934
38	105	105	84	7132971377811143204
39	105	105	84	14651415717241827667
40	105	105	84	6135321199248000306
41	105	105	84	12389226081423060285
42	105	105	84	53596003107661140
43	105	105	84	12136319322917187540
44	105	105	84	13027013430488225734
45	126	126	105	10014771147661592347
46	126	126	105	9758373132204121010
47	126	126	105	14739365613858185841
48	126	126	105	6643591829298961121
49	126	126	105	15051876161355289247
50	126	126	105	11434288578862514001
51	126	126	105	13481520559227775703
52	126	126	105	17886967184363687814
53	126	126	105	7581124878491781181
54	147	147	126	5816727204218224062
55	147	146	125	4171487654201857870
56	147	146	125	2732120810366209558
57	147	146	125	1367980808018759345
58	147	146	125	16387899972352334356
59	147	146	125	17575004342648046821
60	147	146	125	13002061499826843756
61	147	146	125	6903931903161443683
62	147	146	125	9438386795125664651
63	168	167	146	17995441171168035884
64	168	164	143	1911866779635634898
65	168	164	143	15969926201129850200
66	168	164	143	12642546689538880236
67	168	164	143	5009743042435952531
68	168	164	143	5075499493603582305
