tick	action_x	action_y	x	y
0	0	-1	192	398
1	-1	1	190.58578491210938	399.41421508789062
2	1	0	192.58578491210938	399.41421508789062
3	0	0	192.58578491210938	399.41421508789062
4	0	0	192.58578491210938	399.41421508789062
5	0	0	192.58578491210938	399.41421508789062
6	0	0	192.58578491210938	399.41421508789062
7	0	0	192.58578491210938	399.41421508789062
8	0	0	192.58578491210938	399.41421508789062
9	0	0	192.58578491210938	399.41421508789062
10	0	0	192.58578491210938	399.41421508789062
11	0	0	192.58578491210938	399.41421508789062
12	0	0	192.58578491210938	399.41421508789062
13	0	0	192.58578491210938	399.41421508789062
14	0	0	192.58578491210938	399.41421508789062
15	0	0	192.58578491210938	399.41421508789062
16	0	0	192.58578491210938	399.41421508789062
17	0	0	192.58578491210938	399.41421508789062
18	0	0	192.58578491210938	399.41421508789062
19	0	0	192.58578491210938	399.41421508789062
20	0	0	192.58578491210938	399.41421508789062
21	0	0	192.58578491210938	399.41421508789062
22	0	0	192.58578491210938	399.41421508789062
23	0	0	192.58578491210938	399.41421508789062
24	0	0	192.58578491210938	399.41421508789062
25	0	0	192.58578491210938	399.41421508789062
26	0	0	192.58578491210938	399.41421508789062
27	0	0	192.58578491210938	399.41421508789062
28	0	0	192.58578491210938	399.41421508789062
29	0	0	192.58578491210938	399.41421508789062
30	0	0	192.58578491210938	399.41421508789062
31	0	0	192.58578491210938	399.41421508789062
32	0	0	192.58578491210938	399.41421508789062
33	0	0	192.58578491210938	399.41421508789062
34	0	0	192.58578491210938	399.41421508789062
35	0	0	192.58578491210938	399.41421508789062
36	0	0	192.58578491210938	399.41421508789062
37	0	0	192.58578491210938	399.41421508789062
38	0	0	192.58578491210938	399.41421508789062
39	0	0	192.58578491210938	399.41421508789062
40	0	0	192.58578491210938	399.41421508789062
41	0	0	192.58578491210938	399.41421508789062
42	0	0	192.58578491210938	399.41421508789062
43	0	0	192.58578491210938	399.41421508789062
44	0	0	192.58578491210938	399.41421508789062
45	0	0	192.58578491210938	399.41421508789062
46	0	0	192.58578491210938	399.41421508789062
47	0	0	192.58578491210938	399.41421508789062
48	0	0	192.58578491210938	399.41421508789062
49	0	0	192.58578491210938	399.41421508789062
50	0	0	192.58578491210938	399.41421508789062
51	0	0	192.58578491210938	399.41421508789062
52	0	0	192.58578491210938	399.41421508789062
53	0	0	192.58578491210938	399.41421508789062
54	0	0	192.58578491210938	399.41421508789062
55	0	0	192.58578491210938	399.41421508789062
56	0	0	192.58578491210938	399.41421508789062
57	0	0	192.58578491210938	399.41421508789062
58	0	0	192.58578491210938	399.41421508789062
59	0	0	192.58578491210938	399.41421508789062
60	0	0	192.58578491210938	399.41421508789062
61	0	0	192.58578491210938	399.41421508789062
62	0	0	192.58578491210938	399.41421508789062
63	0	0	192.58578491210938	399.41421508789062
64	0	0	192.58578491210938	399.41421508789062
65	0	0	192.58578491210938	399.41421508789062
66	0	0	192.58578491210938	399.41421508789062
67	0	0	192.58578491210938	399.41421508789062
68	0	0	192.58578491210938	399.41421508789062
69	0	0	192.58578491210938	399.41421508789062
70	0	0	192.58578491210938	399.41421508789062
71	0	0	192.58578491210938	399.41421508789062
72	0	0	192.58578491210938	399.41421508789062
73	0	0	192.58578491210938	399.41421508789062
74	0	0	192.58578491210938	399.41421508789062
75	0	0	192.58578491210938	399.41421508789062
76	0	0	192.58578491210938	399.41421508789062
77	0	0	192.58578491210938	399.41421508789062
78	0	0	192.58578491210938	399.41421508789062
79	0	0	192.58578491210938	399.41421508789062
80	0	0	192.58578491210938	399.41421508789062
81	0	0	192.58578491210938	399.41421508789062
82	0	0	192.58578491210938	399.41421508789062
83	0	0	192.58578491210938	399.41421508789062
84	0	0	192.58578491210938	399.41421508789062
85	0	0	192.58578491210938	399.41421508789062
86	0	0	192.58578491210938	399.41421508789062
87	0	0	192.58578491210938	399.41421508789062
88	0	0	192.58578491210938	399.41421508789062
89	0	0	192.58578491210938	399.41421508789062
90	0	0	192.58578491210938	399.41421508789062
91	0	0	192.58578491210938	399.41421508789062
92	0	0	192.58578491210938	399.41421508789062
93	0	0	192.58578491210938	399.41421508789062
94	0	0	192.58578491210938	399.41421508789062
95	0	0	192.58578491210938	399.41421508789062
96	0	0	192.58578491210938	399.41421508789062
97	0	0	192.58578491210938	399.41421508789062
98	0	0	192.58578491210938	399.41421508789062
99	0	0	192.58578491210938	399.41421508789062
100	0	0	192.58578491210938	399.41421508789062
101	0	0	192.58578491210938	399.41421508789062
102	0	0	192.58578491210938	399.41421508789062
103	0	0	192.58578491210938	399.41421508789062
104	0	0	192.58578491210938	399.41421508789062
105	0	0	192.58578491210938	399.41421508789062
106	0	0	192.58578491210938	399.41421508789062
107	0	0	192.58578491210938	399.41421508789062
108	0	0	192.58578491210938	399.41421508789062
