opcode	name	observed_sites	payload_layout	runtime_semantics
0	DEFAULT_NOP_0	278		SEE_SLICE_CONTRACT
1	TERMINATE	519		SEE_SLICE_CONTRACT
2	SET_SECONDARY_TIME	530	i	SEE_SLICE_CONTRACT
3	NOP	8		SEE_SLICE_CONTRACT
4	JUMP	1005	ii	SEE_SLICE_CONTRACT
5	JUMP_DEC	575	iii	SEE_SLICE_CONTRACT
6	SET_INT	3954	ii	SEE_SLICE_CONTRACT
7	SET_FLOAT	3816	ff	SEE_SLICE_CONTRACT
8	SET_INT_RANDOM_SIGN	0	ii	SEE_SLICE_CONTRACT
9	SET_FLOAT_RANDOM_SIGN	38	ff	SEE_SLICE_CONTRACT
10	INT_ADD_ASSIGN	105	ii	SEE_SLICE_CONTRACT
11	INT_SUBTRACT_ASSIGN	48	ii	SEE_SLICE_CONTRACT
12	INT_MULTIPLY_ASSIGN	12	ii	SEE_SLICE_CONTRACT
13	INT_DIVIDE_ASSIGN	8	ii	SEE_SLICE_CONTRACT
14	INT_MODULO_ASSIGN	0	ii	SEE_SLICE_CONTRACT
15	FLOAT_ADD_ASSIGN	2239	ff	SEE_SLICE_CONTRACT
16	FLOAT_SUBTRACT_ASSIGN	442	ff	SEE_SLICE_CONTRACT
17	FLOAT_MULTIPLY_ASSIGN	325	ff	SEE_SLICE_CONTRACT
18	FLOAT_DIVIDE_ASSIGN	30	ff	SEE_SLICE_CONTRACT
19	FLOAT_MODULO_ASSIGN	0	ff	SEE_SLICE_CONTRACT
20	INT_ADD	2	iii	SEE_SLICE_CONTRACT
21	INT_SUBTRACT	14	iii	SEE_SLICE_CONTRACT
22	INT_MULTIPLY	2	iii	SEE_SLICE_CONTRACT
23	INT_DIVIDE	28	iii	SEE_SLICE_CONTRACT
24	INT_MODULO	64	iii	SEE_SLICE_CONTRACT
25	FLOAT_ADD	355	fff	SEE_SLICE_CONTRACT
26	FLOAT_SUBTRACT	263	fff	SEE_SLICE_CONTRACT
27	FLOAT_MULTIPLY	499	fff	SEE_SLICE_CONTRACT
28	FLOAT_DIVIDE	128	fff	SEE_SLICE_CONTRACT
29	FLOAT_MODULO	0	fff	SEE_SLICE_CONTRACT
30	INT_INCREMENT	81	i	SEE_SLICE_CONTRACT
31	INT_DECREMENT	25	i	SEE_SLICE_CONTRACT
32	FLOAT_SINE	136	ff	SEE_SLICE_CONTRACT
33	FLOAT_COSINE	131	ff	SEE_SLICE_CONTRACT
34	POINT_ANGLE	38	fffff	SEE_SLICE_CONTRACT
35	INTERPOLATE_VALUE	0	SPECIAL_OR_UNKNOWN	SEE_SLICE_CONTRACT
36	INSTALL_INTERPOLATION	97	fiiiffff	SEE_SLICE_CONTRACT
37	NORMALIZE_ANGLE	1708	f	SEE_SLICE_CONTRACT
38	POLAR_TO_CARTESIAN	110	ffff	SEE_SLICE_CONTRACT
39	POINT_DISTANCE	2	fffff	SEE_SLICE_CONTRACT
40	JUMP_IF_INT_EQUAL	93	iiii	SEE_SLICE_CONTRACT
41	JUMP_IF_FLOAT_EQUAL	0	ffii	SEE_SLICE_CONTRACT
42	JUMP_IF_INT_NOT_EQUAL	94	iiii	SEE_SLICE_CONTRACT
43	JUMP_IF_FLOAT_NOT_EQUAL	0	ffii	SEE_SLICE_CONTRACT
44	JUMP_IF_INT_LESS	28	iiii	SEE_SLICE_CONTRACT
45	JUMP_IF_FLOAT_LESS	11	ffii	SEE_SLICE_CONTRACT
46	JUMP_IF_INT_LESS_EQUAL	35	iiii	SEE_SLICE_CONTRACT
47	JUMP_IF_FLOAT_LESS_EQUAL	31	ffii	SEE_SLICE_CONTRACT
48	JUMP_IF_INT_GREATER	95	iiii	SEE_SLICE_CONTRACT
49	JUMP_IF_FLOAT_GREATER	6	ffii	SEE_SLICE_CONTRACT
50	JUMP_IF_INT_GREATER_EQUAL	70	iiii	SEE_SLICE_CONTRACT
51	JUMP_IF_FLOAT_GREATER_EQUAL	139	ffii	SEE_SLICE_CONTRACT
52	CALL	614	i	SEE_SLICE_CONTRACT
53	RETURN	250		SEE_SLICE_CONTRACT
54	SET_MAIN_ANM	291	i	SEE_SLICE_CONTRACT
55	SET_PRIMARY_ANM_SEQUENCE	12	i	SEE_SLICE_CONTRACT
56	SET_PRIMARY_ANM_SCRIPTS	0	iiiiii	SEE_SLICE_CONTRACT
57	SET_EXTRA_ANM_SCRIPT	46	ii	SEE_SLICE_CONTRACT
58	SET_MAIN_ANM_ALTERNATE	73	i	SEE_SLICE_CONTRACT
59	SET_PRIMARY_ANM_SEQUENCE_ALTERNATE	138	i	SEE_SLICE_CONTRACT
60	SET_PRIMARY_ANM_SCRIPTS_ALTERNATE	0	iiiiii	SEE_SLICE_CONTRACT
61	SET_EXTRA_ANM_SCRIPT_ALTERNATE	76	ii	SEE_SLICE_CONTRACT
62	PLAY_SPECIAL_ANM	201		SEE_SLICE_CONTRACT
63	SET_POSITION	96	ff	SEE_SLICE_CONTRACT
64	MOVE_TO	342	iiff	SEE_SLICE_CONTRACT
65	SET_DIRECTION_AND_SPEED	171	ff	SEE_SLICE_CONTRACT
66	MOVE_IN_DIRECTION	188	iiff	SEE_SLICE_CONTRACT
67	MOVE_RANDOM_IN_BOUNDS	270	iif	SEE_SLICE_CONTRACT
68	SET_AIMED_DIRECTION_AND_SPEED	0	ff	SEE_SLICE_CONTRACT
69	MOVE_IN_AIMED_DIRECTION	0	iiff	SEE_SLICE_CONTRACT
70	SET_ANGULAR_VELOCITY	54	f	SEE_SLICE_CONTRACT
71	SET_ACCELERATION	78	f	SEE_SLICE_CONTRACT
72	ORBIT_AROUND_POINT	61	iffffff	SEE_SLICE_CONTRACT
73	ORBIT_AROUND_CURRENT_POSITION	70	ifff	SEE_SLICE_CONTRACT
74	SET_ORBIT_VELOCITIES	114	iff	SEE_SLICE_CONTRACT
75	SET_MOVEMENT_BOUNDS	157	ffff	SEE_SLICE_CONTRACT
76	DISABLE_MOVEMENT_BOUNDS	34		SEE_SLICE_CONTRACT
77	SET_HITBOX	363	ff	SEE_SLICE_CONTRACT
78	SET_SECONDARY_HITBOX	33	ff	SEE_SLICE_CONTRACT
79	SET_INTERACTION_FLAGS	16	i	SEE_SLICE_CONTRACT
80	DISABLE_INTERACTION_FLAGS	702	i	SEE_SLICE_CONTRACT
81	ENABLE_INTERACTION_FLAGS	535	i	SEE_SLICE_CONTRACT
82	SET_MINIMUM_PLAYER_DISTANCE	76	f	SEE_SLICE_CONTRACT
83	SET_FORM_EFFECT_ENABLED	195	i	SEE_SLICE_CONTRACT
84	NOP_84	0	SPECIAL_OR_UNKNOWN	SEE_SLICE_CONTRACT
85	NOP_85	0	SPECIAL_OR_UNKNOWN	SEE_SLICE_CONTRACT
86	SET_REMOTE_INT	0	SPECIAL_OR_UNKNOWN	SEE_SLICE_CONTRACT
87	SET_REMOTE_FLOAT	2	ffi	SEE_SLICE_CONTRACT
88	CALL_REMOTE	2	ii	SEE_SLICE_CONTRACT
89	SCHEDULE_REMOTE_SUBROUTINE	0	ii	SEE_SLICE_CONTRACT
90	SPAWN_FAMILIAR_AT_POSITION	214	iffiii	SEE_SLICE_CONTRACT
91	SPAWN_FAMILIAR_AT_OFFSET	377	iffiii	SEE_SLICE_CONTRACT
92	SPAWN_FAMILIAR_INHERITING_POSITION	425	iffiii	SEE_SLICE_CONTRACT
93	SPAWN_ENEMY_AT_POSITION	9	ifffiii	SEE_SLICE_CONTRACT
94	SPAWN_ENEMY_RELATIVE	152	ifffiii	SEE_SLICE_CONTRACT
95	KILL_ALL_NON_BOSS_ENEMIES	157		SEE_SLICE_CONTRACT
96	SHOOT_FAN_AIMED	352	hhiiffffI	SEE_SLICE_CONTRACT
97	SHOOT_FAN	546	hhiiffffI	SEE_SLICE_CONTRACT
98	SHOOT_CIRCLE_AIMED	241	hhiiffffI	SEE_SLICE_CONTRACT
99	SHOOT_CIRCLE	802	hhiiffffI	SEE_SLICE_CONTRACT
100	SHOOT_OFFSET_CIRCLE_AIMED	10	hhiiffffI	SEE_SLICE_CONTRACT
101	SHOOT_OFFSET_CIRCLE	1	hhiiffffI	SEE_SLICE_CONTRACT
102	SHOOT_RANDOM_ANGLE	0	hhiiffffI	SEE_SLICE_CONTRACT
103	SHOOT_RANDOM_SPEED	0	hhiiffffI	SEE_SLICE_CONTRACT
104	SHOOT_RANDOM	56	hhiiffffI	SEE_SLICE_CONTRACT
105	SET_SHOOT_INTERVAL	165	i	SEE_SLICE_CONTRACT
106	SET_SHOOT_INTERVAL_DELAYED	44	i	SEE_SLICE_CONTRACT
107	ENABLE_DEFERRED_SHOOTING	25		SEE_SLICE_CONTRACT
108	DISABLE_DEFERRED_SHOOTING	25		SEE_SLICE_CONTRACT
109	SHOOT_NOW	0		SEE_SLICE_CONTRACT
110	SET_SHOOT_OFFSET	423	ff	SEE_SLICE_CONTRACT
111	SET_BULLET_TRANSFORM	1269	iiiiiff	SEE_SLICE_CONTRACT
112	CLEAR_BULLETS_FOR_TRANSITION	10		SEE_SLICE_CONTRACT
113	SET_BULLET_SOUNDS	161	ii	SEE_SLICE_CONTRACT
114	CREATE_LASER	59	hhffffffiiiiiI	SEE_SLICE_CONTRACT
