file	sub	offset	opcode	mask	operand_flags
ecldata1.ecl	0	776	96	242	0
ecldata1.ecl	0	820	96	244	0
ecldata1.ecl	0	864	96	248	0
ecldata1.ecl	0	980	96	244	0
ecldata1.ecl	0	1024	96	248	0
ecldata1.ecl	1	1220	96	241	0
ecldata1.ecl	1	1264	96	242	0
ecldata1.ecl	1	1308	96	244	0
ecldata1.ecl	1	1352	96	248	0
ecldata1.ecl	1	1532	99	242	0
ecldata1.ecl	1	1576	99	244	0
ecldata1.ecl	1	1620	99	248	0
ecldata1.ecl	3	2048	96	241	0
ecldata1.ecl	3	2092	96	242	0
ecldata1.ecl	3	2136	96	244	0
ecldata1.ecl	3	2180	96	248	0
ecldata1.ecl	3	2360	99	242	0
ecldata1.ecl	3	2404	99	244	0
ecldata1.ecl	3	2448	99	248	0
ecldata1.ecl	5	2892	99	242	64
ecldata1.ecl	5	2936	99	244	64
ecldata1.ecl	5	2980	99	248	64
ecldata1.ecl	6	3328	98	255	0
ecldata1.ecl	7	3452	98	255	0
ecldata1.ecl	7	3496	98	255	0
ecldata1.ecl	8	3620	98	255	0
ecldata1.ecl	8	3664	98	255	0
ecldata1.ecl	8	3708	98	255	0
ecldata1.ecl	9	3832	98	255	0
ecldata1.ecl	9	3876	98	255	0
ecldata1.ecl	9	3920	98	255	0
ecldata1.ecl	9	3964	98	255	0
ecldata1.ecl	9	4008	98	255	0
ecldata1.ecl	11	4420	99	242	64
ecldata1.ecl	11	4464	99	244	64
ecldata1.ecl	11	4508	99	248	64
ecldata1.ecl	13	5156	96	255	0
ecldata1.ecl	16	6260	96	255	64
ecldata1.ecl	16	6344	96	255	64
ecldata1.ecl	16	6476	96	255	64
ecldata1.ecl	16	6560	96	255	64
ecldata1.ecl	16	6644	96	255	64
ecldata1.ecl	16	6728	96	255	64
ecldata1.ecl	16	6860	96	255	64
ecldata1.ecl	16	6944	96	255	64
ecldata1.ecl	16	7028	96	255	64
ecldata1.ecl	16	7112	96	255	64
ecldata1.ecl	16	7216	96	255	64
ecldata1.ecl	16	7300	96	255	64
ecldata1.ecl	16	7384	96	255	64
ecldata1.ecl	16	7468	96	255	64
ecldata1.ecl	16	7552	96	255	64
ecldata1.ecl	16	7636	96	255	64
ecldata1.ecl	16	7792	96	255	64
ecldata1.ecl	16	7876	96	255	64
ecldata1.ecl	16	8008	96	255	64
ecldata1.ecl	16	8092	96	255	64
ecldata1.ecl	16	8176	96	255	64
ecldata1.ecl	16	8260	96	255	64
ecldata1.ecl	16	8392	96	255	64
ecldata1.ecl	16	8476	96	255	64
ecldata1.ecl	16	8560	96	255	64
ecldata1.ecl	16	8644	96	255	64
ecldata1.ecl	16	8748	96	255	64
ecldata1.ecl	16	8832	96	255	64
ecldata1.ecl	16	8916	96	255	64
ecldata1.ecl	16	9000	96	255	64
ecldata1.ecl	16	9084	96	255	64
ecldata1.ecl	16	9168	96	255	64
ecldata1.ecl	16	9412	97	241	0
ecldata1.ecl	16	9456	97	242	0
ecldata1.ecl	16	9500	97	244	0
ecldata1.ecl	16	9544	97	248	0
ecldata1.ecl	16	9588	97	255	0
ecldata1.ecl	16	9672	97	241	0
ecldata1.ecl	16	9716	97	242	0
ecldata1.ecl	16	9760	97	244	0
ecldata1.ecl	16	9804	97	248	0
ecldata1.ecl	16	9848	97	255	0
ecldata1.ecl	16	10012	97	241	0
ecldata1.ecl	16	10056	97	242	0
ecldata1.ecl	16	10100	97	244	0
ecldata1.ecl	16	10144	97	248	0
ecldata1.ecl	16	10188	97	255	0
ecldata1.ecl	16	10272	97	241	0
ecldata1.ecl	16	10316	97	242	0
ecldata1.ecl	16	10360	97	244	0
ecldata1.ecl	16	10404	97	248	0
ecldata1.ecl	16	10448	97	255	0
ecldata1.ecl	17	11180	99	241	64
ecldata1.ecl	17	11224	99	242	64
ecldata1.ecl	17	11268	99	244	64
ecldata1.ecl	17	11312	99	248	64
ecldata1.ecl	19	11624	97	241	64
ecldata1.ecl	19	11668	97	242	64
ecldata1.ecl	19	11712	97	244	64
ecldata1.ecl	19	11756	97	248	64
ecldata1.ecl	20	12020	97	241	64
ecldata1.ecl	20	12064	97	242	64
ecldata1.ecl	20	12108	97	244	64
ecldata1.ecl	20	12152	97	248	64
ecldata1.ecl	21	12348	96	244	0
ecldata1.ecl	21	12392	96	248	0
ecldata1.ecl	21	12436	98	244	0
ecldata1.ecl	21	12480	98	248	0
ecldata1.ecl	23	14640	99	255	64
ecldata1.ecl	27	16992	96	255	68
ecldata1.ecl	27	17036	96	255	68
ecldata1.ecl	27	17120	96	255	68
ecldata1.ecl	27	17164	96	255	68
ecldata1.ecl	27	17248	96	255	68
ecldata1.ecl	27	17292	96	255	68
ecldata1.ecl	27	17376	96	255	68
