file	level	minimum_power	offset	terminal	descriptors
ply00a.sht	0	8	104	160	1
ply00a.sht	1	24	164	332	3
ply00a.sht	2	48	336	504	3
ply00a.sht	3	80	508	788	5
ply00a.sht	4	128	792	1072	5
ply00a.sht	5	999	1076	1468	7
ply00as.sht	0	8	104	216	2
ply00as.sht	1	24	220	332	2
ply00as.sht	2	48	336	504	3
ply00as.sht	3	80	508	732	4
ply00as.sht	4	128	736	1016	5
ply00as.sht	5	999	1020	1412	7
ply01a.sht	0	8	104	160	1
ply01a.sht	1	24	164	276	2
ply01a.sht	2	48	280	448	3
ply01a.sht	3	80	452	676	4
ply01a.sht	4	128	680	960	5
ply01a.sht	5	999	964	1356	7
ply01as.sht	0	8	104	216	2
ply01as.sht	1	24	220	332	2
ply01as.sht	2	48	336	448	2
ply01as.sht	3	80	452	564	2
ply01as.sht	4	128	568	680	2
ply01as.sht	5	999	684	796	2
ply02a.sht	0	8	104	160	1
ply02a.sht	1	24	164	332	3
ply02a.sht	2	48	336	504	3
ply02a.sht	3	80	508	788	5
ply02a.sht	4	128	792	1184	7
ply02a.sht	5	999	1188	1580	7
ply02as.sht	0	8	120	288	3
ply02as.sht	1	24	292	460	3
ply02as.sht	2	48	464	744	5
ply02as.sht	3	80	748	1028	5
ply02as.sht	4	128	1032	1312	5
ply02as.sht	5	999	1316	1652	6
ply02as.sht	6	999	1656	2552	16
ply02as.sht	7	999	2556	3564	18
ply03a.sht	0	8	104	216	2
ply03a.sht	1	24	220	332	2
ply03a.sht	2	48	336	448	2
ply03a.sht	3	80	452	620	3
ply03a.sht	4	128	624	904	5
ply03a.sht	5	999	908	1300	7
ply03as.sht	0	8	104	272	3
ply03as.sht	1	24	276	444	3
ply03as.sht	2	48	448	728	5
ply03as.sht	3	80	732	1124	7
ply03as.sht	4	128	1128	1632	9
ply03as.sht	5	999	1636	2252	11
