id	file	sub	offset	mask	offline_solution
0	ecldata1.ecl	22	12736	244	NOT_VERIFIED
1	ecldata1.ecl	22	12980	248	NOT_VERIFIED
2	ecldata1.ecl	38	23140	241	NOT_VERIFIED
3	ecldata1.ecl	38	23384	242	NOT_VERIFIED
4	ecldata1.ecl	38	23628	244	NOT_VERIFIED
5	ecldata1.ecl	38	23872	248	NOT_VERIFIED
6	ecldata1.ecl	44	28248	241	NOT_VERIFIED
7	ecldata1.ecl	44	28492	242	NOT_VERIFIED
8	ecldata1.ecl	44	28736	244	NOT_VERIFIED
9	ecldata1.ecl	44	28980	248	NOT_VERIFIED
10	ecldata1.ecl	48	33064	242	NOT_VERIFIED
11	ecldata1.ecl	48	33308	244	NOT_VERIFIED
12	ecldata1.ecl	48	33552	248	NOT_VERIFIED
0	ecldata1sp.ecl	8	7712	244	NOT_VERIFIED
1	ecldata1sp.ecl	8	7956	248	NOT_VERIFIED
2	ecldata1sp.ecl	24	18116	241	NOT_VERIFIED
3	ecldata1sp.ecl	24	18360	242	NOT_VERIFIED
4	ecldata1sp.ecl	24	18604	244	NOT_VERIFIED
5	ecldata1sp.ecl	24	18848	248	NOT_VERIFIED
6	ecldata1sp.ecl	30	23224	241	NOT_VERIFIED
7	ecldata1sp.ecl	30	23468	242	NOT_VERIFIED
8	ecldata1sp.ecl	30	23712	244	NOT_VERIFIED
9	ecldata1sp.ecl	30	23956	248	NOT_VERIFIED
10	ecldata1sp.ecl	34	28040	242	NOT_VERIFIED
11	ecldata1sp.ecl	34	28284	244	NOT_VERIFIED
12	ecldata1sp.ecl	34	28528	248	NOT_VERIFIED
205	ecldata1sp.ecl	36	31776	255	NOT_VERIFIED
13	ecldata2.ecl	23	10496	241	NOT_VERIFIED
14	ecldata2.ecl	23	10740	242	NOT_VERIFIED
15	ecldata2.ecl	23	10984	244	NOT_VERIFIED
16	ecldata2.ecl	23	11228	248	NOT_VERIFIED
17	ecldata2.ecl	33	19264	241	NOT_VERIFIED
18	ecldata2.ecl	33	19508	242	NOT_VERIFIED
19	ecldata2.ecl	33	19752	244	NOT_VERIFIED
20	ecldata2.ecl	33	19996	248	NOT_VERIFIED
19	ecldata2.ecl	38	22636	244	NOT_VERIFIED
20	ecldata2.ecl	38	22880	248	NOT_VERIFIED
21	ecldata2.ecl	44	25812	241	NOT_VERIFIED
22	ecldata2.ecl	44	26056	242	NOT_VERIFIED
23	ecldata2.ecl	44	26300	244	NOT_VERIFIED
24	ecldata2.ecl	44	26544	248	NOT_VERIFIED
25	ecldata2.ecl	52	30196	241	NOT_VERIFIED
26	ecldata2.ecl	52	30440	242	NOT_VERIFIED
27	ecldata2.ecl	52	30684	244	NOT_VERIFIED
28	ecldata2.ecl	52	30928	248	NOT_VERIFIED
29	ecldata2.ecl	58	34256	242	NOT_VERIFIED
30	ecldata2.ecl	58	34500	244	NOT_VERIFIED
31	ecldata2.ecl	58	34744	248	NOT_VERIFIED
13	ecldata2sp.ecl	7	3360	241	NOT_VERIFIED
14	ecldata2sp.ecl	7	3604	242	NOT_VERIFIED
15	ecldata2sp.ecl	7	3848	244	NOT_VERIFIED
16	ecldata2sp.ecl	7	4092	248	NOT_VERIFIED
17	ecldata2sp.ecl	17	12128	241	NOT_VERIFIED
18	ecldata2sp.ecl	17	12372	242	NOT_VERIFIED
19	ecldata2sp.ecl	17	12616	244	NOT_VERIFIED
20	ecldata2sp.ecl	17	12860	248	NOT_VERIFIED
19	ecldata2sp.ecl	22	15500	244	NOT_VERIFIED
20	ecldata2sp.ecl	22	15744	248	NOT_VERIFIED
21	ecldata2sp.ecl	28	18676	241	NOT_VERIFIED
22	ecldata2sp.ecl	28	18920	242	NOT_VERIFIED
23	ecldata2sp.ecl	28	19164	244	NOT_VERIFIED
24	ecldata2sp.ecl	28	19408	248	NOT_VERIFIED
25	ecldata2sp.ecl	36	23060	241	NOT_VERIFIED
26	ecldata2sp.ecl	36	23304	242	NOT_VERIFIED
27	ecldata2sp.ecl	36	23548	244	NOT_VERIFIED
28	ecldata2sp.ecl	36	23792	248	NOT_VERIFIED
29	ecldata2sp.ecl	42	27120	242	NOT_VERIFIED
30	ecldata2sp.ecl	42	27364	244	NOT_VERIFIED
31	ecldata2sp.ecl	42	27608	248	NOT_VERIFIED
206	ecldata2sp.ecl	46	31036	255	NOT_VERIFIED
32	ecldata3.ecl	30	12488	241	NOT_VERIFIED
33	ecldata3.ecl	30	12732	242	NOT_VERIFIED
34	ecldata3.ecl	30	12976	244	NOT_VERIFIED
35	ecldata3.ecl	30	13220	248	NOT_VERIFIED
36	ecldata3.ecl	44	22124	242	NOT_VERIFIED
37	ecldata3.ecl	44	22368	244	NOT_VERIFIED
38	ecldata3.ecl	44	22612	248	NOT_VERIFIED
39	ecldata3.ecl	47	25272	241	NOT_VERIFIED
40	ecldata3.ecl	47	25516	242	NOT_VERIFIED
41	ecldata3.ecl	47	25760	244	NOT_VERIFIED
42	ecldata3.ecl	47	26004	248	NOT_VERIFIED
