file	offset	object	x	y	z
stage1.std	2564	0	-192	6600	0
stage1.std	2580	1	-192	6600	0
stage1.std	2596	0	-192	6344	0
stage1.std	2612	1	-192	6344	0
stage1.std	2628	0	-192	6088	0
stage1.std	2644	1	-192	6088	0
stage1.std	2660	0	-192	5832	0
stage1.std	2676	1	-192	5832	0
stage1.std	2692	0	-192	5576	0
stage1.std	2708	1	-192	5576	0
stage1.std	2724	0	-192	5320	0
stage1.std	2740	1	-192	5320	0
stage1.std	2756	0	-192	5064	0
stage1.std	2772	1	-192	5064	0
stage1.std	2788	0	-192	4808	0
stage1.std	2804	1	-192	4808	0
stage1.std	2820	0	-192	4552	0
stage1.std	2836	1	-192	4552	0
stage1.std	2852	0	-192	4296	0
stage1.std	2868	1	-192	4296	0
stage1.std	2884	0	-192	4040	0
stage1.std	2900	1	-192	4040	0
stage1.std	2916	0	-192	3784	0
stage1.std	2932	2	-192	3784	0
stage1.std	2948	0	-192	3528	0
stage1.std	2964	2	-192	3528	0
stage1.std	2980	0	-192	3272	0
stage1.std	2996	2	-192	3272	0
stage1.std	3012	0	-192	3016	0
stage1.std	3028	2	-192	3016	0
stage1.std	3044	0	-192	2760	0
stage1.std	3060	2	-192	2760	0
stage1.std	3076	0	-192	2504	0
stage1.std	3092	2	-192	2504	0
stage1.std	3108	0	-192	2248	0
stage1.std	3124	2	-192	2248	0
stage1.std	3140	0	-192	1992	0
stage1.std	3156	2	-192	1992	0
stage1.std	3172	0	-192	1736	0
stage1.std	3188	2	-192	1736	0
stage1.std	3204	0	-192	1480	0
stage1.std	3220	2	-192	1480	0
stage1.std	3236	0	-192	1224	0
stage1.std	3252	2	-192	1224	0
stage1.std	3268	0	-192	968	0
stage1.std	3284	2	-192	968	0
stage1.std	3300	0	-192	712	0
stage1.std	3316	0	320	712	0
stage1.std	3332	2	-192	712	0
stage1.std	3348	0	-192	456	0
stage1.std	3364	0	320	456	0
stage1.std	3380	2	-192	456	0
stage1.std	3396	0	-192	200	0
stage1.std	3412	0	320	200	0
stage1.std	3428	2	-192	200	0
stage1.std	3444	0	-192	-56	0
stage1.std	3460	0	320	-56	0
stage1.std	3476	2	-192	-56	0
stage1_s.std	2564	0	-192	6600	0
stage1_s.std	2580	1	-192	6600	0
stage1_s.std	2596	0	-192	6344	0
stage1_s.std	2612	1	-192	6344	0
stage1_s.std	2628	0	-192	6088	0
stage1_s.std	2644	1	-192	6088	0
stage1_s.std	2660	0	-192	5832	0
stage1_s.std	2676	1	-192	5832	0
stage1_s.std	2692	0	-192	5576	0
stage1_s.std	2708	1	-192	5576	0
stage1_s.std	2724	0	-192	5320	0
stage1_s.std	2740	1	-192	5320	0
stage1_s.std	2756	0	-192	5064	0
stage1_s.std	2772	1	-192	5064	0
stage1_s.std	2788	0	-192	4808	0
stage1_s.std	2804	1	-192	4808	0
stage1_s.std	2820	0	-192	4552	0
stage1_s.std	2836	1	-192	4552	0
stage1_s.std	2852	0	-192	4296	0
stage1_s.std	2868	1	-192	4296	0
stage1_s.std	2884	0	-192	4040	0
stage1_s.std	2900	1	-192	4040	0
stage1_s.std	2916	0	-192	3784	0
stage1_s.std	2932	2	-192	3784	0
stage1_s.std	2948	0	-192	3528	0
stage1_s.std	2964	2	-192	3528	0
stage1_s.std	2980	0	-192	3272	0
stage1_s.std	2996	2	-192	3272	0
stage1_s.std	3012	0	-192	3016	0
stage1_s.std	3028	2	-192	3016	0
stage1_s.std	3044	0	-192	2760	0
stage1_s.std	3060	2	-192	2760	0
stage1_s.std	3076	0	-192	2504	0
stage1_s.std	3092	2	-192	2504	0
stage1_s.std	3108	0	-192	2248	0
stage1_s.std	3124	2	-192	2248	0
stage1_s.std	3140	0	-192	1992	0
stage1_s.std	3156	2	-192	1992	0
stage1_s.std	3172	0	-192	1736	0
stage1_s.std	3188	2	-192	1736	0
stage1_s.std	3204	0	-192	1480	0
stage1_s.std	3220	2	-192	1480	0
stage1_s.std	3236	0	-192	1224	0
stage1_s.std	3252	2	-192	1224	0
stage1_s.std	3268	0	-192	968	0
stage1_s.std	3284	2	-192	968	0
stage1_s.std	3300	0	-192	712	0
stage1_s.std	3316	0	320	712	0
stage1_s.std	3332	2	-192	712	0
stage1_s.std	3348	0	-192	456	0
stage1_s.std	3364	0	320	456	0
stage1_s.std	3380	2	-192	456	0
stage1_s.std	3396	0	-192	200	0
stage1_s.std	3412	0	320	200	0
stage1_s.std	3428	2	-192	200	0
stage1_s.std	3444	0	-192	-56	0
stage1_s.std	3460	0	320	-56	0
stage1_s.std	3476	2	-192	-56	0
stage2.std	2664	0	-192	10240	0
stage2.std	2680	0	-192	9984	0
stage2.std	2696	1	-192	9984	0
stage2.std	2712	2	-192	9984	0
stage2.std	2728	3	-192	9984	0
stage2.std	2744	0	-192	9728	0
stage2.std	2760	1	-192	9728	0
stage2.std	2776	2	-192	9728	0
stage2.std	2792	3	-192	9728	0
stage2.std	2808	0	-192	9472	0
stage2.std	2824	1	-192	9472	0
stage2.std	2840	2	-192	9472	0
stage2.std	2856	3	-192	9472	0
stage2.std	2872	0	-192	9216	0
stage2.std	2888	1	-192	9216	0
stage2.std	2904	2	-192	9216	0
stage2.std	2920	3	-192	9216	0
stage2.std	2936	0	-192	8960	0
stage2.std	2952	1	-192	8960	0
stage2.std	2968	2	-192	8960	0
stage2.std	2984	3	-192	8960	0
stage2.std	3000	0	-192	8704	0
stage2.std	3016	1	-192	8704	0
stage2.std	3032	2	-192	8704	0
stage2.std	3048	3	-192	8704	0
stage2.std	3064	0	-192	8448	0
stage2.std	3080	1	-192	8448	0
stage2.std	3096	2	-192	8448	0
stage2.std	3112	3	-192	8448	0
stage2.std	3128	0	-192	8192	0
stage2.std	3144	1	-192	8192	0
stage2.std	3160	2	-192	8192	0
stage2.std	3176	3	-192	8192	0
stage2.std	3192	0	-192	7936	0
stage2.std	3208	1	-192	7936	0
stage2.std	3224	2	-192	7936	0
stage2.std	3240	3	-192	7936	0
stage2.std	3256	0	-192	7680	0
stage2.std	3272	1	-192	7680	0
stage2.std	3288	2	-192	7680	0
stage2.std	3304	3	-192	7680	0
stage2.std	3320	0	-192	7424	0
stage2.std	3336	1	-192	7424	0
stage2.std	3352	2	-192	7424	0
stage2.std	3368	3	-192	7424	0
stage2.std	3384	0	-192	7168	0
stage2.std	3400	1	-192	7168	0
stage2.std	3416	2	-192	7168	0
stage2.std	3432	3	-192	7168	0
stage2.std	3448	0	-192	6912	0
stage2.std	3464	1	-192	6912	0
stage2.std	3480	2	-192	6912	0
stage2.std	3496	3	-192	6912	0
stage2.std	3512	0	-192	6656	0
stage2.std	3528	1	-192	6656	0
stage2.std	3544	2	-192	6656	0
stage2.std	3560	3	-192	6656	0
stage2.std	3576	0	-192	6400	0
stage2.std	3592	1	-192	6400	0
stage2.std	3608	2	-192	6400	0
stage2.std	3624	3	-192	6400	0
stage2.std	3640	0	-192	6144	0
stage2.std	3656	1	-192	6144	0
stage2.std	3672	2	-192	6144	0
stage2.std	3688	3	-192	6144	0
stage2.std	3704	0	-192	5888	0
stage2.std	3720	1	-192	5888	0
stage2.std	3736	2	-192	5888	0
stage2.std	3752	3	-192	5888	0
stage2.std	3768	0	-192	5632	0
stage2.std	3784	1	-192	5632	0
stage2.std	3800	2	-192	5632	0
stage2.std	3816	3	-192	5632	0
stage2.std	3832	0	-192	5376	0
stage2.std	3848	1	-192	5376	0
stage2.std	3864	2	-192	5376	0
stage2.std	3880	3	-192	5376	0
stage2.std	3896	0	-192	5120	0
stage2.std	3912	1	-192	5120	0
stage2.std	3928	2	-192	5120	0
stage2.std	3944	3	-192	5120	0
stage2.std	3960	0	-192	4864	0
stage2.std	3976	1	-192	4864	0
stage2.std	3992	2	-192	4864	0
stage2.std	4008	3	-192	4864	0
stage2.std	4024	0	-192	4608	0
stage2.std	4040	1	-192	4608	0
stage2.std	4056	2	-192	4608	0
stage2.std	4072	3	-192	4608	0
stage2.std	4088	0	-192	4352	0
stage2.std	4104	1	-192	4352	0
stage2.std	4120	2	-192	4352	0
stage2.std	4136	3	-192	4352	0
stage2.std	4152	0	-192	4096	0
stage2.std	4168	1	-192	4096	0
stage2.std	4184	2	-192	4096	0
stage2.std	4200	3	-192	4096	0
stage2.std	4216	0	-192	3840	0
stage2.std	4232	1	-192	3840	0
stage2.std	4248	2	-192	3840	0
stage2.std	4264	3	-192	3840	0
stage2.std	4280	0	-192	3584	0
stage2.std	4296	1	-192	3584	0
stage2.std	4312	2	-192	3584	0
stage2.std	4328	3	-192	3584	0
stage2.std	4344	0	-192	3328	0
stage2.std	4360	1	-192	3328	0
stage2.std	4376	2	-192	3328	0
stage2.std	4392	3	-192	3328	0
stage2.std	4408	0	-192	3072	0
stage2.std	4424	1	-192	3072	0
stage2.std	4440	2	-192	3072	0
stage2.std	4456	3	-192	3072	0
stage2.std	4472	0	-192	2816	0
stage2.std	4488	1	-192	2816	0
stage2.std	4504	2	-192	2816	0
stage2.std	4520	3	-192	2816	0
stage2.std	4536	0	-192	2560	0
stage2.std	4552	1	-192	2560	0
stage2.std	4568	2	-192	2560	0
stage2.std	4584	3	-192	2560	0
stage2.std	4600	0	-192	2304	0
stage2.std	4616	1	-192	2304	0
stage2.std	4632	2	-192	2304	0
stage2.std	4648	3	-192	2304	0
stage2.std	4664	0	-192	2048	0
stage2.std	4680	1	-192	2048	0
stage2.std	4696	2	-192	2048	0
stage2.std	4712	3	-192	2048	0
stage2.std	4728	0	-192	1792	0
stage2.std	4744	1	-192	1792	0
stage2.std	4760	2	-192	1792	0
stage2.std	4776	3	-192	1792	0
stage2.std	4792	0	-192	1536	0
stage2.std	4808	1	-192	1536	0
stage2.std	4824	2	-192	1536	0
stage2.std	4840	3	-192	1536	0
stage2.std	4856	0	-192	1280	0
stage2.std	4872	1	-192	1280	0
stage2.std	4888	2	-192	1280	0
stage2.std	4904	3	-192	1280	0
stage2.std	4920	0	-192	1024	0
stage2.std	4936	1	-192	1024	0
stage2.std	4952	2	-192	1024	0
stage2.std	4968	3	-192	1024	0
stage2.std	4984	0	-192	768	0
stage2.std	5000	1	-192	768	0
stage2.std	5016	2	-192	768	0
stage2.std	5032	3	-192	768	0
stage2.std	5048	0	-192	512	0
stage2.std	5064	1	-192	512	0
stage2.std	5080	2	-192	512	0
stage2.std	5096	3	-192	512	0
stage2.std	5112	0	-192	256	0
stage2.std	5128	1	-192	256	0
stage2.std	5144	2	-192	256	0
stage2.std	5160	3	-192	256	0
stage2.std	5176	0	-192	0	0
stage2.std	5192	1	-192	0	0
stage2.std	5208	2	-192	0	0
stage2.std	5224	3	-192	0	0
stage2.std	5240	0	-192	-256	0
stage2.std	5256	1	-192	-256	0
stage2.std	5272	2	-192	-256	0
stage2.std	5288	3	-192	-256	0
stage2.std	5304	0	-192	-512	0
stage2.std	5320	1	-192	-512	0
stage2.std	5336	2	-192	-512	0
stage2.std	5352	3	-192	-512	0
stage2.std	5368	0	-192	-768	0
stage2.std	5384	1	-192	-768	0
stage2.std	5400	2	-192	-768	0
stage2.std	5416	3	-192	-768	0
stage2.std	5432	0	-192	-1024	0
stage2.std	5448	1	-192	-1024	0
stage2.std	5464	2	-192	-1024	0
stage2.std	5480	3	-192	-1024	0
