file	index	id	offset	z_level	flags	x	y	z	width	height	depth	quads
stage1.std	0	0	1180	0	0	-320	-128	-12	768	384	0	1
stage1.std	1	1	1240	1	0	20	-46	-126	408	314	78	18
stage1.std	2	2	1776	1	0	52	-46	-126	376	314	78	27
stage1_s.std	0	0	1180	0	0	-320	-128	-12	768	384	0	1
stage1_s.std	1	1	1240	1	0	20	-46	-126	408	314	78	18
stage1_s.std	2	2	1776	1	0	52	-46	-126	376	314	78	27
stage2.std	0	0	1188	0	0	-320	-128	-16	768	384	4	2
stage2.std	1	1	1276	1	0	50	-46	-48	348	314	0	6
stage2.std	2	2	1476	2	0	50	-31	-96	332	266	0	6
stage2.std	3	3	1676	2	0	58	-16	-126	300	218	0	6
stage2.std	4	4	1876	1	0	52	-46	-126	376	314	78	27
stage2_s.std	0	0	1188	0	0	-320	-128	-16	768	384	4	2
stage2_s.std	1	1	1276	1	0	50	-46	-48	348	314	0	6
stage2_s.std	2	2	1476	2	0	50	-31	-96	332	266	0	6
stage2_s.std	3	3	1676	2	0	58	-16	-126	300	218	0	6
stage2_s.std	4	4	1876	1	0	52	-46	-126	376	314	78	27
stage3.std	0	0	1176	0	0	64	-128	300	384	384	0	2
stage3.std	1	1	1264	1	0	-64	128	96	384	-384	2	2
stage3_s.std	0	0	1176	0	0	64	-128	300	384	384	0	2
stage3_s.std	1	1	1264	1	0	-64	128	96	384	-384	2	2
stage4a.std	0	0	1180	0	0	-320	-128	-12	768	384	0	1
stage4a.std	1	1	1240	1	0	-81.602195739746094	-140.91131591796875	-425.60220336914062	531.20440673828125	505.26800537109375	571.20440673828125	26
stage4a.std	2	2	2128	1	0	-81.602195739746094	-140.91131591796875	-425.60220336914062	531.20440673828125	505.26800537109375	571.20440673828125	22
stage4a_s.std	0	0	1180	0	0	-320	-128	-12	768	384	0	1
stage4a_s.std	1	1	1240	1	0	-81.602195739746094	-140.91131591796875	-425.60220336914062	531.20440673828125	505.26800537109375	571.20440673828125	26
stage4a_s.std	2	2	2128	1	0	-81.602195739746094	-140.91131591796875	-425.60220336914062	531.20440673828125	505.26800537109375	571.20440673828125	22
stage4b.std	0	0	1180	0	0	-320	-128	-12	768	384	0	1
stage4b.std	1	1	1240	1	0	-81.602195739746094	-140.91131591796875	-425.60220336914062	531.20440673828125	505.26800537109375	571.20440673828125	26
stage4b.std	2	2	2128	1	0	-81.602195739746094	-140.91131591796875	-425.60220336914062	531.20440673828125	505.26800537109375	571.20440673828125	22
stage4b_s.std	0	0	1180	0	0	-320	-128	-12	768	384	0	1
stage4b_s.std	1	1	1240	1	0	-81.602195739746094	-140.91131591796875	-425.60220336914062	531.20440673828125	505.26800537109375	571.20440673828125	26
stage4b_s.std	2	2	2128	1	0	-81.602195739746094	-140.91131591796875	-425.60220336914062	531.20440673828125	505.26800537109375	571.20440673828125	22
stage5.std	0	0	1188	1	0	-64	-192	-240	640	576	128	4
stage5.std	1	1	1332	0	0	-128	-192	0	384	576	0	1
stage5.std	2	2	1392	2	0	-136	-288	-212	304	288	52	4
stage5.std	3	3	1536	1	0	-64	-192	-240	640	576	128	4
stage5.std	4	4	1680	2	0	-136	-288	-248	304	288	138	5
stage5_s.std	0	0	1188	1	0	-64	-192	-240	640	576	128	4
stage5_s.std	1	1	1332	0	0	-128	-192	0	384	576	0	1
stage5_s.std	2	2	1392	2	0	-136	-288	-212	304	288	52	4
stage5_s.std	3	3	1536	1	0	-64	-192	-240	640	576	128	4
stage5_s.std	4	4	1680	2	0	-136	-288	-248	304	288	138	5
stage6.std	0	0	1188	1	0	192	-192	-112	384	576	0	1
stage6.std	1	1	1248	0	0	-128	-192	-224	384	576	224	2
stage6.std	2	2	1336	2	0	72	-48	-192	96	96	0	1
stage6.std	3	3	1396	1	0	192	-192	-112	384	576	0	1
stage6.std	4	4	1456	2	0	-128	-192	-224	384	576	224	2
stage6_s.std	0	0	1188	1	0	192	-192	-112	384	576	0	1
stage6_s.std	1	1	1248	0	0	-128	-192	-224	384	576	224	2
stage6_s.std	2	2	1336	2	0	72	-48	-192	96	96	0	1
stage6_s.std	3	3	1396	1	0	192	-192	-112	384	576	0	1
stage6_s.std	4	4	1456	2	0	-128	-192	-224	384	576	224	2
stage7.std	0	0	1188	1	0	170	-192	-112	450	576	0	1
stage7.std	1	1	1248	0	0	-144	-192	-264	432	576	280	2
stage7.std	2	2	1336	2	0	72	-48	-192	96	96	0	1
stage7.std	3	3	1396	1	0	170	-192	-112	450	576	0	1
stage7.std	4	4	1456	2	0	-144	-192	-264	432	576	280	2
stage7_s.std	0	0	1188	1	0	170	-192	-112	450	576	0	1
