file	sub	start	end	instructions	reference_world
ecldata1.ecl	0	284	1136	36	NOT_IMPLEMENTED
ecldata1.ecl	1	1136	1820	25	NOT_IMPLEMENTED
ecldata1.ecl	2	1820	1964	7	NOT_IMPLEMENTED
ecldata1.ecl	3	1964	2648	25	NOT_IMPLEMENTED
ecldata1.ecl	4	2648	2792	7	NOT_IMPLEMENTED
ecldata1.ecl	5	2792	3292	18	NOT_IMPLEMENTED
ecldata1.ecl	6	3292	3416	5	NOT_IMPLEMENTED
ecldata1.ecl	7	3416	3584	6	NOT_IMPLEMENTED
ecldata1.ecl	8	3584	3796	7	NOT_IMPLEMENTED
ecldata1.ecl	9	3796	4096	9	NOT_IMPLEMENTED
ecldata1.ecl	10	4096	4320	11	NOT_IMPLEMENTED
ecldata1.ecl	11	4320	4820	18	NOT_IMPLEMENTED
ecldata1.ecl	12	4820	5044	11	NOT_IMPLEMENTED
ecldata1.ecl	13	5044	5268	11	NOT_IMPLEMENTED
ecldata1.ecl	14	5268	5496	10	NOT_IMPLEMENTED
ecldata1.ecl	15	5496	6068	24	NOT_IMPLEMENTED
ecldata1.ecl	16	6068	11100	142	NOT_IMPLEMENTED
ecldata1.ecl	17	11100	11404	10	NOT_IMPLEMENTED
ecldata1.ecl	18	11404	11544	8	NOT_IMPLEMENTED
ecldata1.ecl	19	11544	11940	16	NOT_IMPLEMENTED
ecldata1.ecl	20	11940	12336	16	NOT_IMPLEMENTED
ecldata1.ecl	21	12336	12556	6	NOT_IMPLEMENTED
ecldata1.ecl	22	12556	14088	53	NOT_IMPLEMENTED
ecldata1.ecl	23	14088	14764	25	NOT_IMPLEMENTED
ecldata1.ecl	24	14764	14980	12	NOT_IMPLEMENTED
ecldata1.ecl	25	14980	15216	12	NOT_IMPLEMENTED
ecldata1.ecl	26	15216	16644	68	NOT_IMPLEMENTED
ecldata1.ecl	27	16644	18648	57	NOT_IMPLEMENTED
ecldata1.ecl	28	18648	18800	7	NOT_IMPLEMENTED
ecldata1.ecl	29	18800	19084	9	NOT_IMPLEMENTED
ecldata1.ecl	30	19084	19496	17	NOT_IMPLEMENTED
ecldata1.ecl	31	19496	19608	4	NOT_IMPLEMENTED
ecldata1.ecl	32	19608	19980	16	NOT_IMPLEMENTED
ecldata1.ecl	33	19980	21076	50	NOT_IMPLEMENTED
ecldata1.ecl	34	21076	21380	10	NOT_IMPLEMENTED
ecldata1.ecl	35	21380	22148	31	NOT_IMPLEMENTED
ecldata1.ecl	36	22148	22548	18	NOT_IMPLEMENTED
ecldata1.ecl	37	22548	22960	21	NOT_IMPLEMENTED
ecldata1.ecl	38	22960	25352	78	NOT_IMPLEMENTED
ecldata1.ecl	39	25352	25500	6	NOT_IMPLEMENTED
ecldata1.ecl	40	25500	26444	27	NOT_IMPLEMENTED
ecldata1.ecl	41	26444	27388	27	NOT_IMPLEMENTED
ecldata1.ecl	42	27388	27836	19	NOT_IMPLEMENTED
ecldata1.ecl	43	27836	28068	12	NOT_IMPLEMENTED
ecldata1.ecl	44	28068	29768	40	NOT_IMPLEMENTED
ecldata1.ecl	45	29768	30084	14	NOT_IMPLEMENTED
ecldata1.ecl	46	30084	30464	17	NOT_IMPLEMENTED
ecldata1.ecl	47	30464	32884	71	NOT_IMPLEMENTED
ecldata1.ecl	48	32884	34200	33	NOT_IMPLEMENTED
ecldata1.ecl	49	34200	36620	71	NOT_IMPLEMENTED
ecldata1.ecl	50	36620	37676	47	NOT_IMPLEMENTED
ecldata1.ecl	51	37676	38776	49	NOT_IMPLEMENTED
ecldata1.ecl	52	38776	39960	53	NOT_IMPLEMENTED
ecldata1sp.ecl	0	244	472	10	NOT_IMPLEMENTED
ecldata1sp.ecl	1	472	1044	24	NOT_IMPLEMENTED
ecldata1sp.ecl	2	1044	6076	142	NOT_IMPLEMENTED
ecldata1sp.ecl	3	6076	6380	10	NOT_IMPLEMENTED
ecldata1sp.ecl	4	6380	6520	8	NOT_IMPLEMENTED
ecldata1sp.ecl	5	6520	6916	16	NOT_IMPLEMENTED
ecldata1sp.ecl	6	6916	7312	16	NOT_IMPLEMENTED
ecldata1sp.ecl	7	7312	7532	6	NOT_IMPLEMENTED
ecldata1sp.ecl	8	7532	9064	53	NOT_IMPLEMENTED
ecldata1sp.ecl	9	9064	9740	25	NOT_IMPLEMENTED
ecldata1sp.ecl	10	9740	9956	12	NOT_IMPLEMENTED
ecldata1sp.ecl	11	9956	10192	12	NOT_IMPLEMENTED
ecldata1sp.ecl	12	10192	11620	68	NOT_IMPLEMENTED
ecldata1sp.ecl	13	11620	13624	57	NOT_IMPLEMENTED
ecldata1sp.ecl	14	13624	13776	7	NOT_IMPLEMENTED
ecldata1sp.ecl	15	13776	14060	9	NOT_IMPLEMENTED
ecldata1sp.ecl	16	14060	14472	17	NOT_IMPLEMENTED
ecldata1sp.ecl	17	14472	14584	4	NOT_IMPLEMENTED
ecldata1sp.ecl	18	14584	14956	16	NOT_IMPLEMENTED
ecldata1sp.ecl	19	14956	16052	50	NOT_IMPLEMENTED
ecldata1sp.ecl	20	16052	16356	10	NOT_IMPLEMENTED
ecldata1sp.ecl	21	16356	17124	31	NOT_IMPLEMENTED
ecldata1sp.ecl	22	17124	17524	18	NOT_IMPLEMENTED
ecldata1sp.ecl	23	17524	17936	21	NOT_IMPLEMENTED
ecldata1sp.ecl	24	17936	20328	78	NOT_IMPLEMENTED
ecldata1sp.ecl	25	20328	20476	6	NOT_IMPLEMENTED
ecldata1sp.ecl	26	20476	21420	27	NOT_IMPLEMENTED
ecldata1sp.ecl	27	21420	22364	27	NOT_IMPLEMENTED
ecldata1sp.ecl	28	22364	22812	19	NOT_IMPLEMENTED
ecldata1sp.ecl	29	22812	23044	12	NOT_IMPLEMENTED
ecldata1sp.ecl	30	23044	24744	40	NOT_IMPLEMENTED
ecldata1sp.ecl	31	24744	25060	14	NOT_IMPLEMENTED
ecldata1sp.ecl	32	25060	25440	17	NOT_IMPLEMENTED
ecldata1sp.ecl	33	25440	27860	71	NOT_IMPLEMENTED
ecldata1sp.ecl	34	27860	29176	33	NOT_IMPLEMENTED
ecldata1sp.ecl	35	29176	31596	71	NOT_IMPLEMENTED
ecldata1sp.ecl	36	31596	32548	36	NOT_IMPLEMENTED
ecldata1sp.ecl	37	32548	34964	71	NOT_IMPLEMENTED
ecldata1sp.ecl	38	34964	35300	12	NOT_IMPLEMENTED
ecldata1sp.ecl	39	35300	36356	47	NOT_IMPLEMENTED
ecldata1sp.ecl	40	36356	37456	49	NOT_IMPLEMENTED
ecldata1sp.ecl	41	37456	38640	53	NOT_IMPLEMENTED
ecldata1sp.ecl	42	38640	39684	51	NOT_IMPLEMENTED
ecldata2.ecl	0	332	372	2	NOT_IMPLEMENTED
ecldata2.ecl	1	372	692	16	NOT_IMPLEMENTED
ecldata2.ecl	2	692	1072	18	NOT_IMPLEMENTED
ecldata2.ecl	3	1072	1452	18	NOT_IMPLEMENTED
ecldata2.ecl	4	1452	2236	27	NOT_IMPLEMENTED
ecldata2.ecl	5	2236	2416	10	NOT_IMPLEMENTED
ecldata2.ecl	6	2416	3200	27	NOT_IMPLEMENTED
ecldata2.ecl	7	3200	3716	23	NOT_IMPLEMENTED
ecldata2.ecl	8	3716	3924	6	NOT_IMPLEMENTED
ecldata2.ecl	9	3924	4356	16	NOT_IMPLEMENTED
ecldata2.ecl	10	4356	4504	7	NOT_IMPLEMENTED
ecldata2.ecl	11	4504	5364	32	NOT_IMPLEMENTED
ecldata2.ecl	12	5364	5572	11	NOT_IMPLEMENTED
ecldata2.ecl	13	5572	6456	32	NOT_IMPLEMENTED
ecldata2.ecl	14	6456	7160	26	NOT_IMPLEMENTED
ecldata2.ecl	15	7160	7420	14	NOT_IMPLEMENTED
ecldata2.ecl	16	7420	7648	10	NOT_IMPLEMENTED
ecldata2.ecl	17	7648	8156	21	NOT_IMPLEMENTED
ecldata2.ecl	18	8156	8756	21	NOT_IMPLEMENTED
ecldata2.ecl	19	8756	9584	39	NOT_IMPLEMENTED
ecldata2.ecl	20	9584	9980	19	NOT_IMPLEMENTED
ecldata2.ecl	21	9980	10096	6	NOT_IMPLEMENTED
ecldata2.ecl	22	10096	10316	12	NOT_IMPLEMENTED
ecldata2.ecl	23	10316	11948	38	NOT_IMPLEMENTED
ecldata2.ecl	24	11948	12868	33	NOT_IMPLEMENTED
ecldata2.ecl	25	12868	13108	12	NOT_IMPLEMENTED
ecldata2.ecl	26	13108	14012	30	NOT_IMPLEMENTED
ecldata2.ecl	27	14012	15204	50	NOT_IMPLEMENTED
ecldata2.ecl	28	15204	15640	20	NOT_IMPLEMENTED
ecldata2.ecl	29	15640	17328	70	NOT_IMPLEMENTED
ecldata2.ecl	30	17328	17796	22	NOT_IMPLEMENTED
ecldata2.ecl	31	17796	18672	31	NOT_IMPLEMENTED
ecldata2.ecl	32	18672	19084	21	NOT_IMPLEMENTED
ecldata2.ecl	33	19084	20660	34	NOT_IMPLEMENTED
ecldata2.ecl	34	20660	21084	17	NOT_IMPLEMENTED
ecldata2.ecl	35	21084	21488	17	NOT_IMPLEMENTED
ecldata2.ecl	36	21488	22112	23	NOT_IMPLEMENTED
ecldata2.ecl	37	22112	22456	17	NOT_IMPLEMENTED
ecldata2.ecl	38	22456	23476	29	NOT_IMPLEMENTED
ecldata2.ecl	39	23476	23900	17	NOT_IMPLEMENTED
ecldata2.ecl	40	23900	24304	17	NOT_IMPLEMENTED
ecldata2.ecl	41	24304	24400	3	NOT_IMPLEMENTED
ecldata2.ecl	42	24400	25260	33	NOT_IMPLEMENTED
ecldata2.ecl	43	25260	25600	17	NOT_IMPLEMENTED
ecldata2.ecl	44	25600	27960	65	NOT_IMPLEMENTED
ecldata2.ecl	45	27960	28108	4	NOT_IMPLEMENTED
ecldata2.ecl	46	28108	28484	12	NOT_IMPLEMENTED
ecldata2.ecl	47	28484	28784	17	NOT_IMPLEMENTED
ecldata2.ecl	48	28784	29160	12	NOT_IMPLEMENTED
